"","X.6","X.4","X.2","X","mctn","actn","actp","mctp","mcnh4","acnh4","mcdoc","acdoc","mcsal","acsal","aflow","amaxstage","mflow","mmaxstage","gTOC","gTP","gsal","gpH","gchl","gTN","rTOC","rTP","rsal","rpH","rchl","rTN","marshmeanrain","gsrainfall","gsmeanstage","X.1","aflow_cum","mflow_cum","X.3","cNH4","cTOC","cDO","cTP","csal","cturb","ctemp","cTN","cpH","cchl","X.5","gNH4","X","eNH4","eTOC","eDO","eTP","esal","eturb","etemp","eTN","epH","echl"
"11",11,11,11,11,-32.5613734468313,-4.4734428522414,-0.0781581848062354,-0.260853583279918,-1.16272863127967,0.640858197721614,-498.990691984071,-268.859067844877,0.539961344976597,-3.05339756568457,-3.10558467800516,-0.43612501657943,-1.51888351712756,-0.417638772205591,-6.13606297897699,-0.00746227948048026,-3.01457532308051,-0.149580669499553,-4.77263062586485,-0.654786794599507,-4.3174914428906,0.0135239923704579,-2.33582710015834,-0.0236937653706279,0.712789119917505,-0.154667622567546,-0.0735006410910833,-0.101500349399484,-0.455641630203975,11,35.3719565938982,-439.723184597121,11,-0.0270590620309356,-0.87956284507696,0.654407713668176,-0.00667418522153137,-1.73591125959643,0.965685361631204,-4.0460395798437,-0.148549531947334,0.0288188800624259,-0.721265725209904,11,0.0892315403860207,11,-0.0310511039010387,-0.0870228255645035,0.488893982025986,-0.00680457754844637,-0.919157709654032,-7.44287803690009,-3.777720705072,-0.146332820799296,0.0205583456891201,-1.63319200212532
"12",12,12,12,12,-42.9231168560091,-21.1059894746401,-0.270206074752773,-0.518228834300094,1.25961523520116,7.34166223682736,-454.589416460519,-303.127030467368,7.59450645366309,3.77840694945618,-17.8943946701713,-0.573921075470237,-38.9424208406903,-0.566580975932795,-5.62179070304395,-0.00742325927125143,0.71340150816459,-0.0452509598512902,-0.509630109839588,-0.485548358458428,-6.6656158706114,-0.00999251658167277,2.4402494065858,-0.0470067842147508,0.102949582733408,-0.655569154986007,-0.0893544684252041,-0.125749097866281,-0.594564810998548,12,-586.358687852304,-1324.97507075623,12,-0.00628259267900207,-0.0912807262091516,0.1753199347839,-0.00547567931363424,1.14877030196909,1.5137465220999,-2.48498786881197,-0.123789341658526,0.0418179898796364,-2.56390642687101,12,0.0978325836703696,12,-0.0257588042597156,-0.0425947347408272,0.105433009443418,-0.00609480460421757,0.647219680912455,-4.36837059589821,-2.31699272719282,-0.0982791210529247,-0.00392640718302896,-1.40047519350849
"13",13,13,13,13,-44.068165216834,-38.7701709321964,-0.485418731415179,-0.706911697915156,1.1040765723578,13.3858023188998,-578.6256523633,-447.25449319939,15.5739076528229,13.2729708129519,-33.4519151713369,-0.496684021942417,-54.8114348782507,-0.489689620365615,-4.67255534707293,-0.0130409601591524,3.37845672884994,0.190216429596393,-1.38925011073539,-0.492126240408167,-0.614785792286794,-0.00734490531034659,3.94877355639827,0.181594661330701,-5.08713048428488,-0.0637891659927975,-0.108376545415256,-0.114237622028258,-0.490003870960842,13,-1093.33769186086,-1566.91442258585,13,0.00714189909482897,2.29319122587223,-0.482566187760044,0.000394673913838699,4.95580227287486,0.97799824493996,-0.766919166811276,0.188503074156409,0.008581585926554,-2.26135602524163,13,0.0193093193799669,13,-0.00544256330088698,0.0221143268937902,0.0736822288417892,-0.00468353345185848,1.86360276574577,-0.0369410196238837,-0.816917970563273,-0.0298481659982347,0.221062346268681,-0.433294950752289
"14",14,14,14,14,-36.9154959826962,-44.3126269213156,-0.785164865354827,-0.685843721215179,-0.914384828845601,18.3005602513311,-322.541163278577,-610.59087878001,18.2940872870612,17.6675282951123,-39.8673801566619,-0.289052931765186,-41.5523962501603,-0.286298493030632,-4.5063074833713,-0.0196400797690125,4.83683195574632,0.33802542451252,-7.30449577393288,-0.694122100702374,1.5337633090816,-0.0126997917548452,4.81334770702652,0.291329613942266,-10.9162227859439,0.195144675199064,-0.0308176059199005,-0.0668587306159079,-0.240827395209153,14,-1221.52954864571,-1195.69348702265,14,0.0108522190660033,4.29113880333604,-1.18002891490572,0.00616793903281261,7.8352954219018,0.1433942504349,0.442181912388689,0.528037655666739,-0.0364567810405468,-1.07219104329545,14,-0.0717227080550744,14,0.010693345151505,-0.0198873302073666,0.353632963096884,-0.00241624444245562,2.50910246602172,1.8686689344244,0.232236459132912,0.000859534818526259,0.379762496930126,0.253161228903809
"15",15,15,15,15,-26.4953754624254,-29.2922523501384,-1.13521224069286,-0.485760550422568,-2.83048673510422,15.4292769266523,-253.004021280232,-544.699674674853,15.2146554818807,15.057079793306,-30.9492638733434,-0.149001683572721,-25.3857521093361,-0.155012756187379,-5.27723271439682,-0.0211986352724273,6.97005400475099,0.260130366418864,-12.7531411433941,-0.867347037951674,1.45720985304314,-0.00746239399193423,8.09185505561377,0.0557254817875256,-7.92280637718842,-0.0938881901601541,0.0898357212526019,0.00448047453603636,-0.081912431394787,15,-938.298275159474,-789.838874612602,15,0.0135866005608108,4.14791914524109,-1.51405930230022,0.00677812466853086,8.64833250311724,0.290484521475628,1.32275117670237,0.558378842525513,-0.0103081448040291,-1.27990538420557,15,-0.0790624395558214,15,0.00968090726986127,-0.112637614473135,0.470582134775922,-0.00170792242393633,2.86924897471008,-0.221913840375725,1.12734796526919,-0.0218410006180078,0.290370791983056,-0.141564070144725
"16",16,16,16,16,-20.0969498449795,1.00724405974447,-1.11505161919341,-0.204008819301353,-0.266503544407083,6.64033667731808,39.1123302590965,-166.503114267623,11.8457074058564,8.94445497304276,-17.0746802894856,-0.144956276984629,-23.6993967203625,-0.128051251112695,-5.8824033305255,-0.0169290010230763,9.23964302602578,0.0668159130901328,-13.0687398471761,-0.811702679981616,-2.30466889563639,0.00333245008385158,7.69038684042701,-0.0715688293090614,-2.34256361780614,-0.323742385118974,0.120821411589743,0.0797333207915072,-0.0524945113403803,16,-481.966767959127,-787.460272288322,16,0.0289343013008184,2.17993021073618,-1.24556623576347,0.00275997561919649,7.63470314021428,1.50066215784601,2.39444209538631,0.282624551975574,0.108659320371891,-2.85070989074123,16,-0.0433239727215273,16,-0.000467772470767803,-0.171620279634358,0.0607708522727762,-0.00355487889994256,3.34087967282892,-3.81839450895366,2.34054703526431,-0.0471924030915292,0.180702249624953,-1.13027658223415
"17",17,17,17,17,-17.7118879883032,30.4326678131082,-0.341206238171339,0.05417505652187,-1.3317583635855,0.213311468435995,-1.65604446116642,329.469146358255,9.60256492213275,1.04509621187577,-7.57688572418707,-0.142982941662458,-15.3070776877232,-0.0508848560862916,-5.1267911275655,-0.0111017555270398,8.17875147924267,-0.0601875540919974,-9.06580925084671,-0.565235996771282,1.15498977906951,-0.0117652245704412,6.78855383247906,-0.0397510755456796,-6.05852033985852,0.0429572807882981,0.0739152884624293,0.134474199430399,-0.00620420715509803,17,-124.010791786488,-699.774373246198,17,0.066178812579223,0.0408114547249994,-0.705644293521688,-0.001223947384704,5.60269722720288,2.31009138923321,3.63833662730314,0.0218814705973094,0.217695950726914,-3.27689858754657,17,-0.0363456766076358,17,0.00156201745425514,-0.273384204406937,-0.631422163375513,-0.00454620074924794,3.77361302380452,-4.0852137336185,3.69860405224333,-0.00442858570796458,0.16861109005348,-1.09639414803685
"18",18,18,18,18,-15.4380394437796,44.2643556949812,0.805838531133025,0.237248395761642,1.46709742081252,4.333476322051,190.022156278766,634.747376617971,3.26847045596791,-8.02033242479111,5.46690576087615,0.00834442309509563,26.147769699155,0.198071970627048,-3.08310597371277,-0.00739434761628558,2.13204987942199,-0.099917752923536,-5.46484079166785,-0.331140289344029,-3.24760662643183,0.00124926536664458,4.50734890507352,-0.231186956253172,-7.30668243244908,-0.28004277696994,0.0788327311507691,0.149760503233903,0.185056073513013,18,94.2317623385869,642.866708746036,18,0.123616474755608,-0.945611199511909,-0.512532020758707,-0.00168100830425836,3.15218034696991,1.27668137598184,4.21260922164167,0.0355342936851823,0.185312700000713,-0.985659592446844,18,-0.04337116559557,18,0.0274330695422443,-0.460936196636588,-0.870460058882936,0.000324659247670797,3.45414328791546,2.09805676850852,4.2548204976429,0.123542642321632,0.159076988670589,1.25339929271269
"19",19,19,19,19,-10.0781497704543,39.6596246359887,1.35304258394865,0.353990026827082,4.39193562293394,20.5209055943101,118.994742547311,627.565402004491,-7.26280552457133,-13.0384527288219,25.9192140025119,0.243099794034743,78.038995443922,0.474495812786325,-1.21776822098974,-0.00468297220487399,-5.51627959057153,-0.169060232079757,-5.14738951682502,-0.236263818527165,6.10386033884169,0.028402966689885,-2.99794036869329,-0.42444037366366,10.770565990279,1.05014127361227,0.111621371553691,0.118407024771379,0.407373845910523,19,325.42028810678,2659.47568748794,19,0.186108279134138,-0.807108816247657,-0.790650617425353,0.000615224992385864,0.458815312262185,-0.863021258780547,3.14784765090168,0.244049363307682,0.00611716018209732,2.43811412065215,19,-0.0301868388569067,19,0.0650344073425142,-0.490044480202357,-0.171094095559563,0.012053646637583,1.73765006906631,13.1528154350084,3.08636444030926,0.275928287495066,0.118144976888906,5.44292232183157
"20",20,20,20,20,-0.934439913442018,26.8678572570246,0.808795744043955,0.378858613138402,12.899068978574,37.8854038801064,201.772632192252,444.205294470459,-14.3834453532296,-10.791173852938,38.411990194712,0.313358429631912,88.4762705371746,0.485116019287662,-1.11220515904383,0.000538340347341972,-9.64305315585617,-0.312402959204384,-6.18001632554465,-0.234557503335414,0.182673029618479,0.0220600222186487,-6.04781489403448,-0.268633221333262,29.3401247887844,0.491291474511326,0.0468180466067213,0.0450525336307466,0.403851396943194,20,668.970532087567,3110.52883533611,20,0.228861197026394,-0.391020240853445,-0.887846418162759,0.00326752093915931,-2.28629630160721,-0.671081433133757,0.398619422661625,0.37285649534378,-0.18476647399355,4.22131277081967,20,0.0170747583640264,20,0.0882100893872834,-0.0791064902890311,1.00970908096043,0.0242660859669939,-1.16255978851714,23.4735031355062,0.29235912210553,0.359100650207081,-0.0250994326913348,9.22108960526162
