#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2015 01 04 07 00 131  7.9  8.5 99.00 99.00 99.00 999 1022.6  25.3  25.0  21.5 99.0 99.00
2015 01 04 08 00 132  9.2 10.5 99.00 99.00 99.00 999 1022.1  25.3  25.0  21.0 99.0 99.00
2015 01 04 09 00 134  8.2  9.7 99.00 99.00 99.00 999 1022.1  25.3  24.9  21.4 99.0 99.00
2015 01 04 10 00 129  8.0  9.2 99.00 99.00 99.00 999 1022.3  25.3  24.9  21.4 99.0 99.00
2015 01 04 11 00 134  7.6  8.4 99.00 99.00 99.00 999 1022.9  25.3  24.8  20.6 99.0 99.00
2015 01 04 12 00 134  6.9  7.6 99.00 99.00 99.00 999 1023.5  25.3  24.8  20.8 99.0 99.00
2015 01 04 13 00 137  6.9  8.0 99.00 99.00 99.00 999 1024.1  25.4  24.8  20.6 99.0 99.00
2015 01 04 14 00 141  6.6  7.3 99.00 99.00 99.00 999 1024.6  25.6  24.7  20.8 99.0 99.00
2015 01 04 15 00 130  6.4  7.2 99.00 99.00 99.00 999 1024.9  25.9  24.8  21.3 99.0 99.00
2015 01 04 16 00 135  6.8  7.7 99.00 99.00 99.00 999 1024.0  26.0  24.8  21.6 99.0 99.00
2015 01 04 17 00 136  6.0  6.7 99.00 99.00 99.00 999 1023.1  26.0  25.0  21.9 99.0 99.00
2015 01 04 18 00 143  5.3  5.9 99.00 99.00 99.00 999 1023.0  26.1  25.1  22.2 99.0 99.00
2015 01 04 19 00 119  4.5  5.9 99.00 99.00 99.00 999 1023.1  26.3  25.3  22.2 99.0 99.00
2015 01 04 20 00 110  4.4  5.7 99.00 99.00 99.00 999 1022.8  26.2  25.5  22.3 99.0 99.00
2015 01 04 21 00 103  4.7  5.6 99.00 99.00 99.00 999 1023.1  26.1  25.7  22.3 99.0 99.00
2015 01 04 22 00  60  3.0  4.4 99.00 99.00 99.00 999 1023.6  25.8  25.8  22.3 99.0 99.00
2015 01 04 23 00 112  5.2  5.9 99.00 99.00 99.00 999 1023.9  25.6  25.8  22.4 99.0 99.00
2015 01 05 00 00 117  5.1  5.8 99.00 99.00 99.00 999 1024.3  25.6  25.8  22.4 99.0 99.00
2015 01 05 01 00 108  5.6  6.2 99.00 99.00 99.00 999 1024.8  25.5  25.7  22.5 99.0 99.00
2015 01 05 02 00  96  3.8  4.3 99.00 99.00 99.00 999 1025.3  25.5  25.6  22.4 99.0 99.00
2015 01 05 03 00  91  4.6  5.0 99.00 99.00 99.00 999 1025.5  25.4  25.4  22.5 99.0 99.00
2015 01 05 04 00  95  3.6  4.3 99.00 99.00 99.00 999 1025.5  25.4  25.3  22.5 99.0 99.00
2015 01 05 05 00 123  4.7  5.5 99.00 99.00 99.00 999 1025.1  25.3  25.3  22.3 99.0 99.00
2015 01 05 06 00 123  4.5  5.4 99.00 99.00 99.00 999 1024.8  25.2  25.4  22.0 99.0 99.00
2015 01 05 07 00 127  4.7  5.3 99.00 99.00 99.00 999 1024.5  25.1  25.4  21.8 99.0 99.00
2015 01 05 08 00 118  4.4  4.8 99.00 99.00 99.00 999 1024.4  25.3  25.3  22.1 99.0 99.00
2015 01 05 09 00 117  5.0  5.8 99.00 99.00 99.00 999 1024.2  25.3  25.3  21.8 99.0 99.00
2015 01 05 10 00 118  4.4  5.0 99.00 99.00 99.00 999 1024.4  25.2  25.1  21.5 99.0 99.00
2015 01 05 11 00 111  4.0  4.7 99.00 99.00 99.00 999 1024.6  25.1  25.1  21.8 99.0 99.00
2015 01 05 12 00 120  4.7  5.1 99.00 99.00 99.00 999 1025.3  25.1  25.0  21.5 99.0 99.00
2015 01 05 13 00  90  4.0  4.4 99.00 99.00 99.00 999 1025.9  25.2  25.0  21.5 99.0 99.00
2015 01 05 14 00  10  0.4  0.7 99.00 99.00 99.00 999 1026.8  25.0  25.1  21.5 99.0 99.00
2015 01 05 15 00  97  4.3  4.8 99.00 99.00 99.00 999 1027.2  25.7  25.2  21.2 99.0 99.00
2015 01 05 16 00  73  3.3  4.7 99.00 99.00 99.00 999 1026.6  25.7  25.2  21.5 99.0 99.00
2015 01 05 17 00  99  5.2  6.1 99.00 99.00 99.00 999 1026.1  25.7  25.4  21.4 99.0 99.00
2015 01 05 18 00 104  4.7  5.3 99.00 99.00 99.00 999 1025.4  25.7  25.6  21.0 99.0 99.00
2015 01 05 19 00  83  3.4  4.4 99.00 99.00 99.00 999 1025.0  25.6  25.8  21.3 99.0 99.00
2015 01 05 20 00  75  4.4  4.8 99.00 99.00 99.00 999 1024.6  25.5  26.0  21.5 99.0 99.00
2015 01 05 21 00  52  3.3  5.0 99.00 99.00 99.00 999 1024.6  25.6  26.1  21.2 99.0 99.00
2015 01 05 22 00  87  5.9  6.4 99.00 99.00 99.00 999 1024.9  25.7  26.1  21.4 99.0 99.00
2015 01 05 23 00  91  6.3  6.7 99.00 99.00 99.00 999 1025.2  25.4  26.1  21.4 99.0 99.00
2015 01 06 00 00  87  7.1  7.6 99.00 99.00 99.00 999 1025.4  25.3  26.1  21.6 99.0 99.00
2015 01 06 01 00  82  6.9  8.0 99.00 99.00 99.00 999 1025.6  25.2  26.1  21.8 99.0 99.00
2015 01 06 02 00  65  7.8  8.8 99.00 99.00 99.00 999 1025.8  25.2  26.0  22.1 99.0 99.00
2015 01 06 03 00  52  8.0  9.0 99.00 99.00 99.00 999 1025.8  24.8  25.8  22.0 99.0 99.00
2015 01 06 04 00  53  8.0  9.0 99.00 99.00 99.00 999 1025.5  24.6  25.7  22.0 99.0 99.00
2015 01 06 05 00  60  7.4  8.3 99.00 99.00 99.00 999 1025.2  24.9  25.6  21.9 99.0 99.00
2015 01 06 06 00  81  5.8  6.5 99.00 99.00 99.00 999 1024.9  24.7  25.5  22.3 99.0 99.00
2015 01 06 07 00  89  8.2  9.6 99.00 99.00 99.00 999 1024.5  25.1  25.5  21.7 99.0 99.00
