#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2010 01 05 19 00 339  2.1  2.6 99.00 99.00 99.00 999 1021.7  11.7  14.0 999.0 99.0 99.00
2010 01 05 20 00 304  2.2  2.7 99.00 99.00 99.00 999 1021.5  12.3  14.2 999.0 99.0 99.00
2010 01 05 21 00 323  7.6  8.4 99.00 99.00 99.00 999 1021.6  12.9  14.3 999.0 99.0 99.00
2010 01 05 22 00 325 10.5 12.0 99.00 99.00 99.00 999 1021.6  12.8  14.3 999.0 99.0 99.00
2010 01 05 23 00 323  8.5  9.9 99.00 99.00 99.00 999 1022.2  12.3  14.3 999.0 99.0 99.00
2010 01 06 00 00 336  7.2  8.1 99.00 99.00 99.00 999 1022.6  12.3  14.2 999.0 99.0 99.00
2010 01 06 01 00 342  8.1  9.1 99.00 99.00 99.00 999 1022.9  12.2  14.1 999.0 99.0 99.00
2010 01 06 02 00 357  6.7  7.4 99.00 99.00 99.00 999 1023.6  11.6  14.1 999.0 99.0 99.00
2010 01 06 03 00 356  8.4  9.5 99.00 99.00 99.00 999 1023.7  10.8  14.0 999.0 99.0 99.00
2010 01 06 04 00 357  9.4 10.8 99.00 99.00 99.00 999 1023.7   9.9  13.9 999.0 99.0 99.00
2010 01 06 05 00 358  8.8  9.6 99.00 99.00 99.00 999 1023.7   9.2  13.8 999.0 99.0 99.00
2010 01 06 06 00 350  8.8 10.0 99.00 99.00 99.00 999 1023.4   9.0  13.6 999.0 99.0 99.00
2010 01 06 07 00 349  9.7 10.6 99.00 99.00 99.00 999 1022.8   8.7  13.5 999.0 99.0 99.00
2010 01 06 08 00 357  9.8 11.1 99.00 99.00 99.00 999 1022.8   8.8  13.3 999.0 99.0 99.00
2010 01 06 09 00   4 10.1 11.1 99.00 99.00 99.00 999 1022.8   8.1  13.2 999.0 99.0 99.00
2010 01 06 10 00   4 11.0 12.3 99.00 99.00 99.00 999 1022.9   7.7  13.1 999.0 99.0 99.00
2010 01 06 11 00  14  9.3 10.6 99.00 99.00 99.00 999 1023.5   7.4  12.9 999.0 99.0 99.00
2010 01 06 12 00  16  8.2  8.9 99.00 99.00 99.00 999 1024.0   7.4  12.8 999.0 99.0 99.00
2010 01 06 13 00   9  8.2  9.1 99.00 99.00 99.00 999 1024.7   7.3  12.7 999.0 99.0 99.00
2010 01 06 14 00  21  6.5  7.2 99.00 99.00 99.00 999 1025.1   7.2  12.6 999.0 99.0 99.00
2010 01 06 15 00  29  5.3  6.0 99.00 99.00 99.00 999 1025.2   7.8  12.7 999.0 99.0 99.00
2010 01 06 16 00   8  5.6  6.4 99.00 99.00 99.00 999 1025.2   8.4  12.8 999.0 99.0 99.00
2010 01 06 17 00   5  5.2  5.9 99.00 99.00 99.00 999 1024.5   9.8  12.9 999.0 99.0 99.00
2010 01 06 18 00   2  4.9  5.6 99.00 99.00 99.00 999 1023.5  10.9  13.1 999.0 99.0 99.00
2010 01 06 19 00 350  2.9  3.9 99.00 99.00 99.00 999 1022.8  11.6  13.2 999.0 99.0 99.00
