YYYY MM DD hh  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2004 01 07 09  34 10.7 12.0 99.00 99.00 99.00 999 1021.0  19.6  23.4 999.0 99.0  0.23
2004 01 07 10  29 12.4 15.0 99.00 99.00 99.00 999 1021.3  19.0  23.3 999.0 99.0  0.00
2004 01 07 11  32 12.7 14.9 99.00 99.00 99.00 999 1021.8  18.8  23.1 999.0 99.0 -0.24
2004 01 07 12  29 11.7 13.3 99.00 99.00 99.00 999 1022.3  18.7  22.9 999.0 99.0 -0.38
2004 01 07 13  37 11.3 12.8 99.00 99.00 99.00 999 1022.8  18.4  22.7 999.0 99.0 -0.32
2004 01 07 14  31 10.5 12.3 99.00 99.00 99.00 999 1023.4  18.1  22.6 999.0 99.0 -0.25
2004 01 07 15  32 10.9 12.1 99.00 99.00 99.00 999 1024.3  18.4  22.5 999.0 99.0 -0.23
2004 01 07 16  27 10.9 11.8 99.00 99.00 99.00 999 1024.1  18.3  22.5 999.0 99.0 -0.33
2004 01 07 17  36  9.8 11.3 99.00 99.00 99.00 999 1023.7  19.5  22.5 999.0 99.0 -0.45
2004 01 07 18  32  9.8 11.7 99.00 99.00 99.00 999 1022.8  20.0  22.7 999.0 99.0 -0.47
2004 01 07 19  37 10.1 11.4 99.00 99.00 99.00 999 1022.3  20.6  22.9 999.0 99.0 -0.48
2004 01 07 20  35  9.3 10.2 99.00 99.00 99.00 999 1022.0  21.2  23.0 999.0 99.0 -0.46
2004 01 07 21  36  9.8 11.7 99.00 99.00 99.00 999 1022.1  21.7  22.9 999.0 99.0 -0.31
2004 01 07 22  57 13.4 16.1 99.00 99.00 99.00 999 1022.5  21.4  22.8 999.0 99.0 -0.08
2004 01 07 23  54 12.4 14.1 99.00 99.00 99.00 999 1023.1  21.2  22.6 999.0 99.0 -0.05
2004 01 08 00  50 14.0 15.5 99.00 99.00 99.00 999 1023.1  20.9  22.5 999.0 99.0  0.13
2004 01 08 01  55 13.1 14.3 99.00 99.00 99.00 999 1023.3  21.1  22.4 999.0 99.0  0.25
2004 01 08 02  58 10.6 12.5 99.00 99.00 99.00 999 1023.7  21.1  22.3 999.0 99.0  0.31
2004 01 08 03  60 11.3 12.7 99.00 99.00 99.00 999 1024.0  21.2  22.2 999.0 99.0  0.33
2004 01 08 04  64 10.7 12.2 99.00 99.00 99.00 999 1023.7  21.2  22.1 999.0 99.0  0.23
2004 01 08 05  65 11.1 12.6 99.00 99.00 99.00 999 1023.4  21.0  22.0 999.0 99.0  0.13
2004 01 08 06  33  8.0  9.4 99.00 99.00 99.00 999 1023.5  18.9  21.9 999.0 99.0  0.11
2004 01 08 07  32  7.7  8.6 99.00 99.00 99.00 999 1023.4  18.4  21.8 999.0 99.0 -0.01
2004 01 08 08  51  7.1  7.8 99.00 99.00 99.00 999 1022.9  18.8  21.8 999.0 99.0 -0.07
2004 01 08 09  40  6.8  8.0 99.00 99.00 99.00 999 1022.5  18.6  21.6 999.0 99.0 -0.10
2004 01 08 10  38  6.9  8.2 99.00 99.00 99.00 999 1022.4  18.7  21.4 999.0 99.0 -0.17
2004 01 08 11  47  7.2  8.1 99.00 99.00 99.00 999 1022.8  18.5  21.3 999.0 99.0 -0.30
2004 01 08 12  48  7.7  8.7 99.00 99.00 99.00 999 1023.2  18.5  21.1 999.0 99.0 -0.37
2004 01 08 13  36  6.6  7.6 99.00 99.00 99.00 999 1023.4  18.0  21.1 999.0 99.0 -0.23
2004 01 08 14  35  4.9  6.1 99.00 99.00 99.00 999 1024.1  18.7  21.1 999.0 99.0 -0.09
2004 01 08 15  67  5.2  6.2 99.00 99.00 99.00 999 1024.4  19.3  21.3 999.0 99.0 -0.01
2004 01 08 16  60  5.8  6.4 99.00 99.00 99.00 999 1023.8  20.2  21.5 999.0 99.0  0.02
2004 01 08 17  86  6.5  7.7 99.00 99.00 99.00 999 1022.8  21.9  21.7 999.0 99.0 -0.03
2004 01 08 18  84  5.8  7.2 99.00 99.00 99.00 999 1022.1  21.9  21.8 999.0 99.0 -0.18
2004 01 08 19  89  6.6  7.6 99.00 99.00 99.00 999 1021.6  21.9  22.0 999.0 99.0 -0.24
2004 01 08 20  79  5.9  7.1 99.00 99.00 99.00 999 1021.4  21.9  22.2 999.0 99.0 -0.22
2004 01 08 21  78  6.4  7.7 99.00 99.00 99.00 999 1021.3  21.7  22.3 999.0 99.0 -0.17
2004 01 08 22  69  7.9  9.0 99.00 99.00 99.00 999 1021.3  21.7  22.2 999.0 99.0 -0.02
2004 01 08 23  65  8.2  8.9 99.00 99.00 99.00 999 1021.6  21.5  22.1 999.0 99.0  0.18
2004 01 09 00  61  7.2  8.0 99.00 99.00 99.00 999 1021.8  21.3  22.0 999.0 99.0  0.36
2004 01 09 01  57  6.4  7.5 99.00 99.00 99.00 999 1021.7  21.1  22.0 999.0 99.0  0.48
2004 01 09 02  47  6.8  7.9 99.00 99.00 99.00 999 1021.7  20.6  21.9 999.0 99.0  0.59
2004 01 09 03  35  6.9  7.9 99.00 99.00 99.00 999 1022.0  20.4  21.7 999.0 99.0  0.65
2004 01 09 04  42  6.3  7.2 99.00 99.00 99.00 999 1021.8  20.4  21.6 999.0 99.0  0.59
2004 01 09 05  43  6.6  7.5 99.00 99.00 99.00 999 1021.3  19.9  21.6 999.0 99.0  0.54
2004 01 09 06  36  6.1  6.8 99.00 99.00 99.00 999 1021.1  19.7  21.5 999.0 99.0  0.52
2004 01 09 07  42  7.3  8.0 99.00 99.00 99.00 999 1020.9  19.4  21.4 999.0 99.0  0.40
2004 01 09 08  81  5.6  6.2 99.00 99.00 99.00 999 1019.7  19.6  21.4 999.0 99.0  0.31
2004 01 09 09  70  5.9  7.1 99.00 99.00 99.00 999 1019.1  19.8  21.2 999.0 99.0  0.27
2004 01 09 10  64  4.3  4.9 99.00 99.00 99.00 999 1019.0  20.0  21.0 999.0 99.0  0.21
2004 01 09 11  41  3.4  4.0 99.00 99.00 99.00 999 1019.1  19.9  20.9 999.0 99.0  0.10
2004 01 09 12  32  4.1  4.8 99.00 99.00 99.00 999 1019.3  19.3  20.8 999.0 99.0 -0.06
