YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2005 01 03 22 00  49  7.4  8.1 99.00 99.00 99.00 999 1022.5  22.0  21.4  18.7 99.0  0.22
2005 01 03 23 00  56  8.1  9.2 99.00 99.00 99.00 999 1022.9  22.0  21.4  18.8 99.0  0.21
2005 01 04 00 00  51  6.9  8.2 99.00 99.00 99.00 999 1023.6  21.8  21.3  18.9 99.0  0.19
2005 01 04 01 00  47  7.6  8.3 99.00 99.00 99.00 999 1024.1  21.9  21.3  19.1 99.0  0.16
2005 01 04 02 00  54  5.9  6.5 99.00 99.00 99.00 999 1024.6  21.8  21.3  19.2 99.0  0.15
2005 01 04 03 00  59  7.1  8.0 99.00 99.00 99.00 999 1024.7  21.8  21.3  19.3 99.0  0.18
2005 01 04 04 00  65  5.1  5.9 99.00 99.00 99.00 999 1024.4  21.8  21.3  19.5 99.0  0.13
2005 01 04 05 00  90  5.9  6.3 99.00 99.00 99.00 999 1023.7  21.8  21.2  18.6 99.0  0.06
2005 01 04 06 00  68  5.9  6.8 99.00 99.00 99.00 999 1023.2  21.9  21.2  19.2 99.0  0.13
2005 01 04 07 00  72  5.7  6.5 99.00 99.00 99.00 999 1022.9  21.9  21.2  18.8 99.0  0.21
2005 01 04 08 00  60  4.8  5.3 99.00 99.00 99.00 999 1022.5  21.5  21.1  19.1 99.0  0.27
2005 01 04 09 00  44  5.7  6.3 99.00 99.00 99.00 999 1022.4  21.2  21.1  19.4 99.0  0.25
2005 01 04 10 00  54  4.9  5.5 99.00 99.00 99.00 999 1022.3  21.4  21.0  19.3 99.0  0.15
2005 01 04 11 00  61  5.7  6.5 99.00 99.00 99.00 999 1022.8  21.5  21.0  19.2 99.0  0.05
2005 01 04 12 00  62  5.3  5.8 99.00 99.00 99.00 999 1023.0  21.6  20.9  19.2 99.0  0.02
2005 01 04 13 00  46  4.6  5.1 99.00 99.00 99.00 999 1023.6  21.6  20.9  18.9 99.0  0.01
2005 01 04 14 00  48  4.9  5.4 99.00 99.00 99.00 999 1024.2  21.8  20.9  18.4 99.0  0.00
2005 01 04 15 00   4  2.7  4.5 99.00 99.00 99.00 999 1024.7  21.6  21.0  19.0 99.0  0.04
2005 01 04 16 00  35  4.6  5.2 99.00 99.00 99.00 999 1024.6  22.1  21.2  18.7 99.0  0.13
2005 01 04 17 00  73  5.3  6.1 99.00 99.00 99.00 999 1024.1  22.5  21.4  18.9 99.0  0.13
2005 01 04 18 00  33  4.1  4.8 99.00 99.00 99.00 999 1023.2  22.1  21.5  19.2 99.0  0.20
2005 01 04 19 00  59  6.5  7.5 99.00 99.00 99.00 999 1022.0  22.4  21.7  18.8 99.0  0.31
2005 01 04 20 00  59  4.5  5.3 99.00 99.00 99.00 999 1021.5  22.7  21.8  19.3 99.0  0.37
2005 01 04 21 00  85  6.6  7.7 99.00 99.00 99.00 999 1021.4  23.0  21.9  18.9 99.0  0.41
2005 01 04 22 00  77  6.7  7.5 99.00 99.00 99.00 999 1021.5  22.7  22.0  19.1 99.0  0.34
2005 01 04 23 00  70  5.6  6.2 99.00 99.00 99.00 999 1021.8  22.4  22.0  19.6 99.0  0.23
2005 01 05 00 00  69  5.9  6.4 99.00 99.00 99.00 999 1022.0  22.2  21.9  19.3 99.0  0.25
2005 01 05 01 00  73  5.2  5.9 99.00 99.00 99.00 999 1022.7  22.2  21.8  18.7 99.0  0.20
2005 01 05 02 00  63  5.1  5.8 99.00 99.00 99.00 999 1022.8  22.2  21.7  18.9 99.0  0.17
2005 01 05 03 00  55  4.7  5.4 99.00 99.00 99.00 999 1023.0  22.0  21.7  19.0 99.0  0.14
2005 01 05 04 00  71  5.0  6.0 99.00 99.00 99.00 999 1022.7  22.0  21.6  18.6 99.0  0.12
2005 01 05 05 00  92  5.5  6.3 99.00 99.00 99.00 999 1021.9  22.1  21.6  18.2 99.0  0.02
