Sample_code,Site_code,Sampling_event,Filtered.Unfiltered,Collected,Submitted,Returned,N.N_um.L,N.N_MDL,N.N_FLAG,NO3.N_um.L,NO2.N_um.L,NO2.N_MDL,NO2.N_FLAG,NH3.NH4.N_um.L,NH3.NH4.N_MDL,NH3.NH4.N_FLAG,TN_um.L,TN_MDL,TN_FLAG,TP_um.L,TP_MDL,TP_FLAG,SRP_um.L,SRP_MDL,SRP_FLAG,TOC_um.L,TOC_MDL,TOC_FLAG
ACS3_4-24_UF1,ACS3,45771,UF,1/26/2024,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.5,3.5,NA,3.196,0.212,,,NA,,914.2,10.4,NA
ACS3_8-24_F1,ACS3,45893,F,1/27/2024,,,0.558,0.124,I,NA,0.028,0.015,I,2.425,0.196,NA,NA,NA,NA,NA,NA,,0.038,0.062,T,NA,NA,NA
ACS3_8-24_UF1,ACS3,45893,UF,1/28/2024,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,3.5,NA,0.757,0.016,,,NA,,763.1,10.4,NA
ACS4_1-24_UF1,ACS4,45681,UF,1/29/2024,1/29/2024,3/1/2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,3.5,NA,1.964,0.031,,,NA,,1729,10.4,NA
ACS4_4-24_F1,ACS4,45771,F,1/30/2024,11/23/2024,3/21/2025,1.49,0.124,NA,1.155,0.335,0.015,NA,1.189,0.196,NA,NA,NA,NA,NA,NA,,0.209,0.062,I,NA,NA,NA
ACS4_4-24_UF1,ACS4,45771,UF,1/31/2024,11/23/2024,3/21/2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197.1,3.5,NA,5.758,0.212,,,NA,,1386,10.4,NA
ACS4_4-24_UF1,ACS4,45771,UF,2/1/2024,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197.1,3.5,NA,5.758,0.212,,,NA,,1386,10.4,NA
ACS4_8-24_UF1,ACS4,45893,UF,2/2/2024,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.9,3.5,NA,1.075,0.015,,,NA,,637.3,10.4,NA
ACS5_1-24_UF1,ACS5,45681,UF,2/3/2024,1/29/2024,3/1/2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129.8,3.5,NA,2.267,0.099,,,NA,,2022,10.4,NA
ACS5_4-24_F1,ACS5,45771,F,2/4/2024,11/23/2024,3/21/2025,1.11,0.124,NA,0.841,0.269,0.015,NA,1.35,0.196,NA,NA,NA,NA,NA,NA,,0.113,0.062,I,NA,NA,NA
ACS5_4-24_UF1,ACS5,45771,UF,2/5/2024,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146.4,3.5,NA,3.698,0.212,,,NA,,1097,10.4,NA
ACS5_4-24_UF1,ACS5,45771,UF,2/6/2024,11/23/2024,3/21/2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146.4,3.5,NA,3.698,0.212,,,NA,,1097,10.4,NA
ACS5_8-24_UF1,ACS5,45893,UF,2/7/2024,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129,3.5,NA,1.96,0.015,,,NA,,1158,10.4,NA
CC_1-24_UF1,CC,45681,UF,2/8/2024,1/29/2024,3/1/2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,3.5,NA,0.507,0.028,,,NA,,325.7,10.4,NA
CC_4-24_F1,CC,45771,F,2/9/2024,11/23/2024,3/21/2025,0.065,0.13,T,NA,0.023,0.013,I,0.048,0.179,T,NA,NA,NA,NA,NA,,0.001,0.046,T,NA,NA,NA
CC_4-24_UF1,CC,45771,UF,2/10/2024,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.7,3.5,NA,1.732,0.015,,,NA,,243.3,10.4,NA
CC_4-24_UF1,CC,45771,UF,2/11/2024,11/23/2024,3/21/2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.7,3.5,NA,1.732,0.015,,,NA,,243.3,10.4,NA
CC_8-24_UF1,CC,45893,UF,2/12/2024,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.1,3.5,NA,1.301,0.015,,,NA,,258.8,10.4,NA
CP_3-24_F1,CP,45740,F,2/13/2024,11/23/2024,3/21/2025,0.375,0.124,I,NA,0.077,0.015,I,2.789,0.196,NA,NA,NA,NA,NA,NA,,0.025,0.062,T,NA,NA,NA
CP_3-24_UF1,CP,45740,UF,2/14/2024,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.2,3.5,NA,0.344,0.016,,,NA,,808,10.4,NA
CP_3-24_UF1,CP,45740,UF,2/15/2024,11/23/2024,3/21/2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.2,3.5,NA,0.344,0.016,,,NA,,808,10.4,NA
CP_7-24_F1,CP,45862,F,2/16/2024,11/23/2024,3/21/2025,0.341,0.124,I,NA,0.021,0.015,I,6.039,0.196,NA,NA,NA,NA,NA,NA,,0.012,0.062,T,NA,NA,NA
CP_7-24_UF1,CP,45862,UF,2/17/2024,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.9,3.5,NA,0.307,0.016,,,NA,,836.7,10.4,NA
CP_7-24_UF1,CP,45862,UF,2/18/2024,11/23/2024,3/21/2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.9,3.5,NA,0.307,0.016,,,NA,,836.7,10.4,NA
DC1_1-24_UF1,DC1,45681,UF,2/19/2024,1/29/2024,3/1/2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126.7,3.5,NA,1.967,0.099,,,NA,,2178,10.4,NA
DC1_11-24_F1,DC1,45985,F,2/20/2024,,,0.233,0.13,I,NA,0.019,0.013,I,0.277,0.179,I,NA,NA,NA,NA,NA,,0.025,0.046,T,NA,NA,NA
DC1_11-24_UF1,DC1,45985,UF,2/21/2024,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.7,3.5,NA,1.66,0.015,,,NA,,473.7,10.4,NA
DC1_1123E_F2,DC1,1123E,F,2/22/2024,1/29/2024,3/1/2024,0.189,0.124,I,NA,0.515,0.015,NA,6.582,0.196,NA,NA,NA,NA,NA,NA,,0.294,0.062,I,NA,NA,NA
DC1_4-24_F1,DC1,45771,F,2/23/2024,11/23/2024,3/21/2025,4.473,0.13,NA,4.22,0.253,0.013,NA,2.807,0.179,NA,NA,NA,NA,NA,NA,,0.147,0.046,I,NA,NA,NA
DC1_4-24_UF1,DC1,45771,UF,2/24/2024,11/23/2024,3/21/2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,204,3.5,NA,4.355,0.077,,,NA,,1388,10.4,NA
DC1_4-24_UF1,DC1,45771,UF,2/25/2024,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,204,3.5,NA,4.355,0.077,,,NA,,1388,10.4,NA
DC1_8-24_UF1,DC1,45893,UF,2/26/2024,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171.4,6.9,NA,4.635,0.077,,,NA,,2330,10.4,NA
DC2_1-24_UF1,DC2,45681,UF,2/27/2024,1/29/2024,3/1/2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.9,3.5,NA,1.964,0.099,,,NA,,2398,20.8,NA
DC2_4-24_F1,DC2,45771,F,2/28/2024,11/23/2024,3/21/2025,1.642,0.13,NA,1.26,0.382,0.013,NA,1.21,0.179,NA,NA,NA,NA,NA,NA,,0.169,0.046,I,NA,NA,NA
DC2_4-24_UF1,DC2,45771,UF,2/29/2024,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,232.1,3.5,NA,6.048,0.107,,,NA,,1998,10.4,NA
DC2_4-24_UF1,DC2,45771,UF,3/1/2024,11/23/2024,3/21/2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,232.1,3.5,NA,6.048,0.107,,,NA,,1998,10.4,NA
DC2_8-24_F1,DC2,45893,F,3/2/2024,,,1.378,0.13,NA,0.677,0.701,0.013,NA,3.675,0.179,NA,NA,NA,NA,NA,NA,,0.132,0.046,I,NA,NA,NA
DC2_8-24_UF1,DC2,45893,UF,3/3/2024,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218.3,3.5,NA,4.375,0.077,,,NA,,2056,10.4,NA
DCM1_1-24_UF1,DCM1,45681,UF,3/4/2024,1/29/2024,3/1/2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141,3.5,NA,2.396,0.099,,,NA,,2177,10.4,NA
DCM1_1123E_F1,DCM1,1123E,F,3/5/2024,1/29/2024,3/1/2024,0.408,0.124,I,NA,0.37,0.015,NA,1.777,0.196,NA,NA,NA,NA,NA,NA,,0.079,0.062,I,NA,NA,NA
DCM1_4-24_F1,DCM1,45771,F,3/6/2024,11/23/2024,3/21/2025,0.59,0.124,I,NA,0.318,0.015,NA,1.106,0.196,NA,NA,NA,NA,NA,NA,,0.244,0.062,I,NA,NA,NA
DCM1_4-24_UF1,DCM1,45771,UF,3/7/2024,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,354.8,6.9,NA,10.088,0.212,,,NA,,2825,20.8,NA
DCM1_4-24_UF1,DCM1,45771,UF,3/8/2024,11/23/2024,3/21/2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,354.8,6.9,NA,10.088,0.212,,,NA,,2825,20.8,NA
DCM1_8-24_UF1,DCM1,45893,UF,3/9/2024,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,263.1,17.3,NA,1.133,0.212,I,,NA,,3536,10.4,NA
DCM2_1-24_UF1,DCM2,45681,UF,3/10/2024,1/29/2024,3/1/2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153.3,3.5,NA,3.437,0.099,,,NA,,1922,10.4,NA
DCM2_8-24_UF1,DCM2,45893,UF,3/11/2024,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163.1,17.3,NA,7.128,0.122,,,NA,,1750,10.4,NA
EP146_3-24_F1,EP146,45740,F,3/12/2024,11/23/2024,3/21/2025,0.416,0.124,I,NA,0.044,0.015,I,18.894,0.589,NA,NA,NA,NA,NA,NA,,0.053,0.062,T,NA,NA,NA
EP146_3-24_UF1,EP146,45740,UF,3/13/2024,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107.4,3.5,NA,0.678,0.016,,,NA,,818.3,10.4,NA
EP146_3-24_UF1,EP146,45740,UF,3/14/2024,11/23/2024,3/21/2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107.4,3.5,NA,0.678,0.016,,,NA,,818.3,10.4,NA
EP146_7-24_F1,EP146,45862,F,3/15/2024,11/23/2024,3/21/2025,0.432,0.124,I,NA,0.073,0.015,I,0.786,0.196,I,NA,NA,NA,NA,NA,,0.007,0.062,T,NA,NA,NA
EP146_7-24_UF1,EP146,45862,UF,3/16/2024,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.9,3.5,NA,1.383,0.016,,,NA,,860.8,10.4,NA
EP146_7-24_UF1,EP146,45862,UF,3/17/2024,11/23/2024,3/21/2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.9,3.5,NA,1.383,0.016,,,NA,,860.8,10.4,NA
GB1_1-24_UF1,GB1,45681,UF,3/18/2024,1/29/2024,3/1/2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.1,3.5,NA,1.889,0.028,,,NA,,1556,10.4,NA
GB1_11-24_F1,GB1,45985,F,3/19/2024,,,1.023,0.13,NA,0.807,0.216,0.013,NA,10.508,0.359,NA,NA,NA,NA,NA,NA,,0.06,0.046,I,NA,NA,NA
GB1_11-24_UF1,GB1,45985,UF,3/20/2024,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.8,3.5,NA,0.804,0.015,,,NA,,372,10.4,NA
GB1_1123E_F1,GB1,1123E,F,3/21/2024,1/29/2024,3/1/2024,0.438,0.13,I,NA,0.131,0.013,I,0.307,0.179,I,NA,NA,NA,NA,NA,,0.067,0.046,I,NA,NA,NA
GB1_4-24_F1,GB1,45771,F,3/22/2024,11/23/2024,3/21/2025,ND,0.13,U,NA,0.079,0.013,I,0.846,0.179,I,NA,NA,NA,NA,NA,,0.029,0.046,T,NA,NA,NA
GB1_4-24_UF1,GB1,45771,UF,3/23/2024,11/23/2024,3/21/2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.3,3.5,NA,2.047,0.015,,,NA,,1047,10.4,NA
GB1_4-24_UF1,GB1,45771,UF,3/24/2024,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.3,3.5,NA,2.047,0.015,,,NA,,1047,10.4,NA
GB1_8-24_UF1,GB1,45893,UF,3/25/2024,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163.6,3.5,NA,2.874,0.046,,,NA,,1330,10.4,NA
GB2_1-24_UF1,GB2,45681,UF,3/26/2024,1/29/2024,3/1/2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.5,3.5,NA,0.77,0.028,,,NA,,701.7,10.4,NA
GB2_1123E_F1,GB2,1123E,F,3/27/2024,1/29/2024,3/1/2024,0.473,0.13,I,NA,0.097,0.013,I,0.073,0.179,T,NA,NA,NA,NA,NA,,0.007,0.046,T,NA,NA,NA
GB2_4-24_F1,GB2,45771,F,3/28/2024,11/23/2024,3/21/2025,0.299,0.13,I,NA,0.15,0.013,I,3.82,0.179,NA,NA,NA,NA,NA,NA,,0.001,0.046,T,NA,NA,NA
GB2_4-24_UF1,GB2,45771,UF,3/29/2024,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,3.5,NA,1.047,0.015,,,NA,,616.1,10.4,NA
GB2_4-24_UF1,GB2,45771,UF,3/30/2024,11/23/2024,3/21/2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,3.5,NA,1.047,0.015,,,NA,,616.1,10.4,NA
GB2_8-24_UF1,GB2,45893,UF,3/31/2024,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.9,3.5,NA,0.976,0.015,,,NA,,791.3,10.4,NA
GBHM_1-24_UF1,GBHM,45681,UF,4/1/2024,1/29/2024,3/1/2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,3.5,NA,4.066,0.099,,,NA,,1193,10.4,NA
JB_1-24_UF1,JB,45681,UF,4/2/2024,1/29/2024,3/1/2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.2,3.5,NA,0.346,0.028,,,NA,,286.8,10.4,NA
JB_11-24_F1,JB,45985,F,4/3/2024,,,0.489,0.13,I,NA,0.037,0.013,I,0.219,0.179,I,NA,NA,NA,NA,NA,,0.023,0.046,T,NA,NA,NA
JB_11-24_UF1,JB,45985,UF,4/4/2024,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.1,3.5,NA,1.204,0.015,,,NA,,531.8,10.4,NA
JB_1123E_F1,JB,1123E,F,4/5/2024,10/5/2023,3/1/2024,0.443,0.13,I,NA,0.018,0.013,I,0.288,0.179,I,NA,NA,NA,NA,NA,,0.038,0.046,T,NA,NA,NA
JB_4-24_F1,JB,45771,F,4/6/2024,11/23/2024,3/21/2025,0.154,0.13,I,NA,0.041,0.013,I,0.249,0.179,I,NA,NA,NA,NA,NA,,0.013,0.046,T,NA,NA,NA
JB_4-24_UF1,JB,45771,UF,4/7/2024,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.7,3.5,NA,0.415,0.015,,,NA,,256.4,10.4,NA
JB_4-24_UF1,JB,45771,UF,4/8/2024,11/23/2024,3/21/2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.7,3.5,NA,0.415,0.015,,,NA,,256.4,10.4,NA
JB_8-24_F1,JB,45893,F,4/9/2024,,,0.239,0.13,I,NA,0.023,0.013,I,0.671,0.179,I,NA,NA,NA,NA,NA,,0.009,0.046,T,NA,NA,NA
JB_8-24_UF1,JB,45893,UF,4/10/2024,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.5,3.5,NA,0.31,0.015,,,NA,,498.4,10.4,NA
MCS1_1-24_UF1,MCS1,45681,UF,4/11/2024,1/29/2024,3/1/2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.2,3.5,NA,0.975,0.031,,,NA,,901.7,10.4,NA
MCS1_11-24_F1,MCS1,45985,F,4/12/2024,,,0.513,0.13,I,NA,0.048,0.013,I,0.203,0.179,I,NA,NA,NA,NA,NA,,0.018,0.046,T,NA,NA,NA
MCS1_11-24_UF1,MCS1,45985,UF,4/13/2024,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,3.5,I,0.516,0.015,,,NA,,245.5,10.4,NA
MCS1_1123E_F1,MCS1,1123E,F,4/14/2024,1/29/2024,3/1/2024,0.343,0.124,I,NA,0.077,0.015,I,0.155,0.196,T,NA,NA,NA,NA,NA,,0.011,0.062,T,NA,NA,NA
MCS1_4-24_F1,MCS1,45771,F,4/15/2024,11/23/2024,3/21/2025,1.105,0.124,NA,NA,0.155,0.015,I,1.485,0.196,NA,NA,NA,NA,NA,NA,,0.053,0.062,T,NA,NA,NA
MCS1_4-24_UF1,MCS1,45771,UF,4/16/2024,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.1,3.5,NA,1.003,0.016,,,NA,,465.7,10.4,NA
MCS1_4-24_UF1,MCS1,45771,UF,4/17/2024,11/23/2024,3/21/2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.1,3.5,NA,1.003,0.016,,,NA,,465.7,10.4,NA
MCS1_8-24_F1,MCS1,45893,F,4/18/2024,,,0.795,0.124,I,NA,0.017,0.015,I,1.187,0.196,NA,NA,NA,NA,NA,NA,,0.035,0.062,T,NA,NA,NA
MCS1_8-24_UF1,MCS1,45893,UF,4/19/2024,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.6,3.5,NA,1.063,0.016,,,NA,,1397,10.4,NA
MCS2_1-24_UF1,MCS2,45681,UF,4/20/2024,1/29/2024,3/1/2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.9,3.5,NA,0.636,0.031,,,NA,,900,10.4,NA
MCS2_4-24_F1,MCS2,45771,F,4/21/2024,11/23/2024,3/21/2025,1.06,0.124,NA,NA,0.139,0.015,I,1.471,0.196,NA,NA,NA,NA,NA,NA,,0.034,0.062,T,NA,NA,NA
MCS2_4-24_UF1,MCS2,45771,UF,4/22/2024,11/23/2024,3/21/2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.1,3.5,NA,1.607,0.016,,,NA,,423,10.4,NA
MCS2_4-24_UF1,MCS2,45771,UF,4/23/2024,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.1,3.5,NA,1.607,0.016,,,NA,,423,10.4,NA
MCS2_8-24_F1,MCS2,45893,F,4/24/2024,,,0.569,0.124,I,NA,0.051,0.015,I,1.216,0.196,NA,NA,NA,NA,NA,NA,,0.017,0.062,T,NA,NA,NA
MCS2_8-24_UF1,MCS2,45893,UF,4/25/2024,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106.2,3.5,NA,1.114,0.015,,,NA,,1037,10.4,NA
MCS3_1-24_UF1,MCS3,45681,UF,4/26/2024,1/29/2024,3/1/2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.5,3.5,NA,0.774,0.031,,,NA,,860,10.4,NA
MCS3_4-24_F1,MCS3,45771,F,4/27/2024,11/23/2024,3/21/2025,1.286,0.124,NA,NA,0.099,0.015,I,1.874,0.196,NA,NA,NA,NA,NA,NA,,0.024,0.062,T,NA,NA,NA
MCS3_4-24_UF1,MCS3,45771,UF,4/28/2024,11/23/2024,3/21/2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.7,3.5,NA,1.755,0.016,,,NA,,1276,10.4,NA
MCS3_4-24_UF1,MCS3,45771,UF,4/29/2024,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.7,3.5,NA,1.755,0.016,,,NA,,1276,10.4,NA
MCS3_8-24_F1,MCS3,45893,F,4/30/2024,,,1.43,0.13,NA,NA,0.055,0.013,I,0.902,0.179,I,NA,NA,NA,NA,NA,,0.02,0.046,T,NA,NA,NA
MCS3_8-24_UF1,MCS3,45893,UF,5/1/2024,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.1,3.5,NA,1.211,0.015,,,NA,,1187,10.4,NA
MCS4_1-24_UF1,MCS4,45681,UF,5/2/2024,1/29/2024,3/1/2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.7,3.5,NA,0.645,0.031,,,NA,,1107,10.4,NA
MCS4_4-24_F1,MCS4,45771,F,5/3/2024,11/23/2024,3/21/2025,1.422,0.124,NA,NA,0.117,0.015,I,1.75,0.196,NA,NA,NA,NA,NA,NA,,0.027,0.062,T,NA,NA,NA
MCS4_4-24_UF1,MCS4,45771,UF,5/4/2024,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,3.5,NA,1.562,0.016,,,NA,,664.3,10.4,NA
MCS4_4-24_UF1,MCS4,45771,UF,5/5/2024,11/23/2024,3/21/2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,3.5,NA,1.562,0.016,,,NA,,664.3,10.4,NA
MCS4_8-24_UF1,MCS4,45893,UF,5/6/2024,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97.1,3.5,NA,1.207,0.015,,,NA,,1058,10.4,NA
NCL_3-24_F1,NCL,45740,F,5/7/2024,11/23/2024,3/21/2025,1.115,0.124,NA,NA,0.016,0.015,I,2.194,0.196,NA,NA,NA,NA,NA,NA,,0.013,0.062,T,NA,NA,NA
NCL_3-24_UF1,NCL,45740,UF,5/8/2024,11/23/2024,3/21/2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107.1,3.5,NA,0.365,0.016,,,NA,,819.2,10.4,NA
NCL_3-24_UF1,NCL,45740,UF,5/9/2024,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107.1,3.5,NA,0.365,0.016,,,NA,,819.2,10.4,NA
NCL_7-24_F1,NCL,45862,F,5/10/2024,11/23/2024,3/21/2025,0.45,0.124,I,NA,0.027,0.015,I,3.414,0.196,NA,NA,NA,NA,NA,NA,,0.037,0.062,T,NA,NA,NA
NCL_7-24_UF1,NCL,45862,UF,5/11/2024,11/23/2024,3/21/2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107.4,3.5,NA,0.308,0.016,,,NA,,900,10.4,NA
NCL_7-24_UF1,NCL,45862,UF,5/12/2024,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107.4,3.5,NA,0.308,0.016,,,NA,,900,10.4,NA
OL_3-24_F1,OL,45740,F,5/13/2024,11/23/2024,3/21/2025,0.493,0.124,I,NA,0.049,0.015,I,66.045,2.943,NA,NA,NA,NA,NA,NA,,0.017,0.062,T,NA,NA,NA
OL_3-24_UF1,OL,45740,UF,5/14/2024,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135.5,3.5,NA,0.541,0.016,,,NA,,875.8,10.4,NA
OL_3-24_UF1,OL,45740,UF,5/15/2024,11/23/2024,3/21/2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135.5,3.5,NA,0.541,0.016,,,NA,,875.8,10.4,NA
OL_7-24_F1,OL,45862,F,5/16/2024,11/23/2024,3/21/2025,0.238,0.124,I,NA,0.166,0.015,NA,1.07,0.196,NA,NA,NA,NA,NA,NA,,0.022,0.062,T,NA,NA,NA
OL_7-24_UF1,OL,45862,UF,5/17/2024,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.6,3.5,NA,0.496,0.016,,,NA,,891.7,10.4,NA
OL_7-24_UF1,OL,45862,UF,5/18/2024,11/23/2024,3/21/2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.6,3.5,NA,0.496,0.016,,,NA,,891.7,10.4,NA
