"","Site_code","Sampling_event","Sample_code.x","Temp","DO","Salinity","pH","NTU","FDOM_RFU","FDOM_QSU","Site_Name","Latitude","Longitude","UTM_Easting","UTM_Northing","Site_type","Algal_subset","Notes","Sample_code.y","N.N_um.L","NO2.N_um.L","NO3.N_um.L","NH3.NH4.N_um.L","SRP_um.L","Sample_code.x.1","TN_um.L","TP_um.L","TOC_um.L","Rep","Sample_code.y.1","Collected","Water_amount","Processed","Chl"
"49","DC1","4-24","DC1_4-24_WQ",23.1,2.73,24.24,8.08,28.55,43.09,130.41,"Dead Creek 1",25.175074,-80.813947,518747.92,2784346.65,"POI","N","Southern Dead Creek","DC1_4-24_F1","4.473",0.253,4.22,2.807,"0.147","DC1_4-24_UF1",204,4.355,1388,1,"DC1_4-24_1","4/10/2024",28,"11/6/2024",54.16
"50","DC1","9-23","DC1_9-23_WQ",29.958,2.34,19.77,7.9,20.1,45.1,135.27,"Dead Creek 1",25.175074,-80.813947,518747.92,2784346.65,"POI","N","Southern Dead Creek","DC1_9-23_F1","0.089",0.032,NA,0.464,"0.034","DC1_9-23_UF1",114.5,3.286,2401,1,"DC1_9-23_1","9/26/2023",51,"12/1/2023",25.07
"51","DC1","9-23","DC1_9-23_WQ",29.958,2.34,19.77,7.9,20.1,45.1,135.27,"Dead Creek 1",25.175074,-80.813947,518747.92,2784346.65,"POI","N","Southern Dead Creek","DC1_9-23_F1","0.089",0.032,NA,0.464,"0.034","DC1_9-23_UF1",114.5,3.286,2401,2,"DC1_9-23_2","9/26/2023",58,"12/1/2023",32.87
"52","DC2","1-24","DC2_1-24_WQ",21.1,4.3,7.5,NA,NA,NA,NA,"Dead Creek 2",25.180799,-80.812926,518849.89,2784980.74,"POI","N","northern Dead Creek","DC2_1-24_F1","0.451",0.467,NA,3.337,"0.063","DC2_1-24_UF1",131.9,1.964,2398,1,"DC2_1-24_1","1/11/2024",51,"",NA
"53","DC2","1-24","DC2_1-24_WQ",21.1,4.3,7.5,NA,NA,NA,NA,"Dead Creek 2",25.180799,-80.812926,518849.89,2784980.74,"POI","N","northern Dead Creek","DC2_1-24_F1","0.451",0.467,NA,3.337,"0.063","DC2_1-24_UF1",131.9,1.964,2398,2,"DC2_1-24_2","1/11/2024",51,"",NA
"54","DC2","4-24","DC2_4-24_WQ",22.9,1.68,23.79,7.73,29.08,49.61,150.52,"Dead Creek 2",25.180799,-80.812926,518849.89,2784980.74,"POI","N","northern Dead Creek","DC2_4-24_F1","1.642",0.382,1.26,1.21,"0.169","DC2_4-24_UF1",232.1,6.048,1998,1,"DC2_4-24_1","4/10/2024",50,"11/6/2024",37.78
"55","DC2","4-24","DC2_4-24_WQ",22.9,1.68,23.79,7.73,29.08,49.61,150.52,"Dead Creek 2",25.180799,-80.812926,518849.89,2784980.74,"POI","N","northern Dead Creek","DC2_4-24_F1","1.642",0.382,1.26,1.21,"0.169","DC2_4-24_UF1",232.1,6.048,1998,2,"DC2_4-24_2","4/10/2024",52,"11/6/2024",36.63
"56","DC2","8-24","DC2_8-24_WQ",30.002,0.33,29.07,7.39,22.45,4.92,67.24,"Dead Creek 2",25.180799,-80.812926,518849.89,2784980.74,"POI","N","northern Dead Creek","DC2_8-24_F1","1.378",0.701,0.677,3.675,"0.132","DC2_8-24_UF1",218.3,4.375,2056,1,"DC2_8-24_1","",NA,"11/6/2024",22.03
"57","DC2","8-24","DC2_8-24_WQ",30.002,0.33,29.07,7.39,22.45,4.92,67.24,"Dead Creek 2",25.180799,-80.812926,518849.89,2784980.74,"POI","N","northern Dead Creek","DC2_8-24_F1","1.378",0.701,0.677,3.675,"0.132","DC2_8-24_UF1",218.3,4.375,2056,2,"DC2_8-24_2","",NA,"11/6/2024",23.52
"58","DC2","9-23","DC2_9-23_WQ",29.36,2.03,17.67,7.67,16.51,45.42,136.17,"Dead Creek 2",25.180799,-80.812926,518849.89,2784980.74,"POI","N","northern Dead Creek","DC2_9-23_F1","0.086",0.023,NA,0.427,"0.108","DC2_9-23_UF1",89.8,3.326,1994,2,"DC2_9-23_2","9/26/2023",57,"12/1/2023",34.39
"59","DC2","9-23","DC2_9-23_WQ",29.36,2.03,17.67,7.67,16.51,45.42,136.17,"Dead Creek 2",25.180799,-80.812926,518849.89,2784980.74,"POI","N","northern Dead Creek","DC2_9-23_F1","0.086",0.023,NA,0.427,"0.108","DC2_9-23_UF1",89.8,3.326,1994,1,"DC2_9-23_1","9/26/2023",55,"12/1/2023",34.13
"60","DCM1","1-24","DCM1_1-24_WQ",22.2,8.6,2.6,NA,NA,NA,NA,"Dead Creek Mangrove 1",25.174365,-80.813505,518792.55,2784268.19,"Mangrove","N","Dead mangroves off of southern dead creek","DCM1_1-24_F1","0.347",0.317,NA,1.071,"0.059","DCM1_1-24_UF1",141,2.396,2177,2,"DCM1_1-24_2","1/11/2024",53,"",NA
"61","DCM1","1-24","DCM1_1-24_WQ",22.2,8.6,2.6,NA,NA,NA,NA,"Dead Creek Mangrove 1",25.174365,-80.813505,518792.55,2784268.19,"Mangrove","N","Dead mangroves off of southern dead creek","DCM1_1-24_F1","0.347",0.317,NA,1.071,"0.059","DCM1_1-24_UF1",141,2.396,2177,1,"DCM1_1-24_1","1/11/2024",52,"",NA
"62","DCM1","1123E","DCM1_1123E_WQ",20,4.7,3.6,NA,NA,NA,NA,"Dead Creek Mangrove 1",25.174365,-80.813505,518792.55,2784268.19,"Mangrove","N","Dead mangroves off of southern dead creek","DCM1_1123E_F1","0.408",0.37,NA,1.777,"0.079","DCM1_1123E_UF",2.47,0.11724,39.75,1,"DCM1_1123E_1","11/28/2023",55,"",NA
"63","DCM1","1123E","DCM1_1123E_WQ",20,4.7,3.6,NA,NA,NA,NA,"Dead Creek Mangrove 1",25.174365,-80.813505,518792.55,2784268.19,"Mangrove","N","Dead mangroves off of southern dead creek","DCM1_1123E_F1","0.408",0.37,NA,1.777,"0.079","DCM1_1123E_UF",2.47,0.11724,39.75,2,"DCM1_1123E_2","11/28/2023",54,"",NA
"64","DCM1","1123E","DCM1_1123E_WQ",20,4.7,3.6,NA,NA,NA,NA,"Dead Creek Mangrove 1",25.174365,-80.813505,518792.55,2784268.19,"Mangrove","N","Dead mangroves off of southern dead creek","DCM1_1123E_F1","0.00571",0.00518,NA,0.02488,"0.00245","DCM1_1123E_UF",2.47,0.11724,39.75,1,"DCM1_1123E_1","11/28/2023",55,"",NA
"65","DCM1","1123E","DCM1_1123E_WQ",20,4.7,3.6,NA,NA,NA,NA,"Dead Creek Mangrove 1",25.174365,-80.813505,518792.55,2784268.19,"Mangrove","N","Dead mangroves off of southern dead creek","DCM1_1123E_F1","0.00571",0.00518,NA,0.02488,"0.00245","DCM1_1123E_UF",2.47,0.11724,39.75,2,"DCM1_1123E_2","11/28/2023",54,"",NA
"66","DCM1","4-24","DCM1_4-24_WQ",23.3,4.2,0.3,NA,NA,NA,NA,"Dead Creek Mangrove 1",25.174365,-80.813505,518792.55,2784268.19,"Mangrove","N","Dead mangroves off of southern dead creek","DCM1_4-24_F1","0.59",0.318,NA,1.106,"0.244","DCM1_4-24_UF1",354.8,10.088,2825,1,"DCM1_4-24_1","4/10/2024",48,"11/6/2024",25.69
"67","DCM1","4-24","DCM1_4-24_WQ",23.3,4.2,0.3,NA,NA,NA,NA,"Dead Creek Mangrove 1",25.174365,-80.813505,518792.55,2784268.19,"Mangrove","N","Dead mangroves off of southern dead creek","DCM1_4-24_F1","0.59",0.318,NA,1.106,"0.244","DCM1_4-24_UF1",354.8,10.088,2825,2,"DCM1_4-24_2","4/10/2024",50,"11/6/2024",30.69
"68","DCM1","9-23","DCM1_9-23_WQ",NA,NA,14.4,NA,NA,NA,NA,"Dead Creek Mangrove 1",25.174365,-80.813505,518792.55,2784268.19,"Mangrove","N","Dead mangroves off of southern dead creek","DCM1_9-23_F1","1.215",0.258,0.957,14.493,"0.062","DCM1_9-23_UF1",95.1,2.399,2001,1,"DCM1_9-23_1","9/26/2023",57,"12/1/2023",38.77
"69","DCM1","9-23","DCM1_9-23_WQ",NA,NA,14.4,NA,NA,NA,NA,"Dead Creek Mangrove 1",25.174365,-80.813505,518792.55,2784268.19,"Mangrove","N","Dead mangroves off of southern dead creek","DCM1_9-23_F1","1.215",0.258,0.957,14.493,"0.062","DCM1_9-23_UF1",95.1,2.399,2001,2,"DCM1_9-23_2","9/26/2023",60,"12/1/2023",26.71
