"","Site_code","Sampling_event","Sample_code.x","Temp","DO","Salinity","pH","NTU","FDOM_RFU","FDOM_QSU","Site_Name","Latitude","Longitude","UTM_Easting","UTM_Northing","Site_type","Algal_subset","Notes","Sample_code.y","N.N_um.L","NO2.N_um.L","NO3.N_um.L","NH3.NH4.N_um.L","SRP_um.L","Sample_code.x.1","TN_um.L","TP_um.L","TOC_um.L","Rep","Sample_code.y.1","Collected","Water_amount","Processed","Chl"
"70","DCM2","1-24","DCM2_1-24_WQ",22.1,7.6,8.6,NA,NA,NA,NA,"Dead Creek Mangrove 2",25.181358,-80.811422,519001.33,2785042.77,"Mangrove","N","Dead mangroves off of northern dead creek","DCM2_1-24_F1","0.349",0.341,NA,1.066,"0.058","DCM2_1-24_UF1",153.3,3.437,1922,1,"DCM2_1-24_1","1/11/2024",52,"",NA
"71","DCM2","1-24","DCM2_1-24_WQ",22.1,7.6,8.6,NA,NA,NA,NA,"Dead Creek Mangrove 2",25.181358,-80.811422,519001.33,2785042.77,"Mangrove","N","Dead mangroves off of northern dead creek","DCM2_1-24_F1","0.349",0.341,NA,1.066,"0.058","DCM2_1-24_UF1",153.3,3.437,1922,2,"DCM2_1-24_2","1/11/2024",51,"",NA
"72","DCM2","9-23","DCM2_9-23_WQ",NA,NA,6.6,NA,NA,NA,NA,"Dead Creek Mangrove 2",25.181358,-80.811422,519001.33,2785042.77,"Mangrove","N","Dead mangroves off of northern dead creek","DCM2_9-23_F1","1.724",0.3,1.424,1.485,"0.038","DCM2_9-23_UF1",107.7,5.436,2165,1,"DCM2_9-23_1","9/26/2023",56,"12/1/2023",39.03
"73","DCM2","9-23","DCM2_9-23_WQ",NA,NA,6.6,NA,NA,NA,NA,"Dead Creek Mangrove 2",25.181358,-80.811422,519001.33,2785042.77,"Mangrove","N","Dead mangroves off of northern dead creek","DCM2_9-23_F1","1.724",0.3,1.424,1.485,"0.038","DCM2_9-23_UF1",107.7,5.436,2165,2,"DCM2_9-23_2","9/26/2023",56,"12/1/2023",15.23
"74","GB1","1-24","GB1_1-24_WQ",22.6,7.4,15.1,NA,NA,NA,NA,"Garfield Bight",25.167619,-80.804658,519685.12,2783522.46,"Florida Bay","Y","Garfield Bight by the hydro station","GB1_1-24_F1","0.252",0.31,NA,0.611,"0.398","GB1_1-24_UF1",98.1,1.889,1556,2,"GB1_1-24_2","1/11/2024",52,"11/6/2024",16.8
"75","GB1","1-24","GB1_1-24_WQ",22.6,7.4,15.1,NA,NA,NA,NA,"Garfield Bight",25.167619,-80.804658,519685.12,2783522.46,"Florida Bay","Y","Garfield Bight by the hydro station","GB1_1-24_F1","0.252",0.31,NA,0.611,"0.398","GB1_1-24_UF1",98.1,1.889,1556,1,"GB1_1-24_1","1/11/2024",51,"11/6/2024",15.17
"76","GB1","1123E","GB1_1123E_WQ",23.2,5,16.9,NA,NA,NA,NA,"Garfield Bight",25.167619,-80.804658,519685.12,2783522.46,"Florida Bay","Y","Garfield Bight by the hydro station","GB1_1123E_F1","0.438",0.131,NA,0.307,"0.067","GB1_1123E_UF",2.19,0.05875,26.29,1,"GB1_1123E_1","11/28/2023",55,"11/6/2024",19.83
"77","GB1","1123E","GB1_1123E_WQ",23.2,5,16.9,NA,NA,NA,NA,"Garfield Bight",25.167619,-80.804658,519685.12,2783522.46,"Florida Bay","Y","Garfield Bight by the hydro station","GB1_1123E_F1","0.438",0.131,NA,0.307,"0.067","GB1_1123E_UF",2.19,0.05875,26.29,2,"GB1_1123E_2","11/28/2023",57,"11/6/2024",27.93
"78","GB1","1123E","GB1_1123E_WQ",23.2,5,16.9,NA,NA,NA,NA,"Garfield Bight",25.167619,-80.804658,519685.12,2783522.46,"Florida Bay","Y","Garfield Bight by the hydro station","GB1_1123E_F1","0.00613",0.00183,NA,0.0043,"0.00208","GB1_1123E_UF",2.19,0.05875,26.29,1,"GB1_1123E_1","11/28/2023",55,"11/6/2024",19.83
"79","GB1","1123E","GB1_1123E_WQ",23.2,5,16.9,NA,NA,NA,NA,"Garfield Bight",25.167619,-80.804658,519685.12,2783522.46,"Florida Bay","Y","Garfield Bight by the hydro station","GB1_1123E_F1","0.00613",0.00183,NA,0.0043,"0.00208","GB1_1123E_UF",2.19,0.05875,26.29,2,"GB1_1123E_2","11/28/2023",57,"11/6/2024",27.93
"80","GB1","4-24","GB1_4-24_WQ",24,6.23,27.13,8.27,12.59,17.46,53.2,"Garfield Bight",25.167619,-80.804658,519685.12,2783522.46,"Florida Bay","Y","Garfield Bight by the hydro station","GB1_4-24_F1","ND",0.079,NA,0.846,"0.029","GB1_4-24_UF1",109.3,2.047,1047,2,"GB1_4-24_2","4/10/2024",50,"",NA
"81","GB1","4-24","GB1_4-24_WQ",24,6.23,27.13,8.27,12.59,17.46,53.2,"Garfield Bight",25.167619,-80.804658,519685.12,2783522.46,"Florida Bay","Y","Garfield Bight by the hydro station","GB1_4-24_F1","ND",0.079,NA,0.846,"0.029","GB1_4-24_UF1",109.3,2.047,1047,1,"GB1_4-24_1","4/10/2024",51,"",NA
"82","GB1","9-23","GB1_9-23_WQ",30.731,6.32,26.84,8.18,9.01,29.6,88.82,"Garfield Bight",25.167619,-80.804658,519685.12,2783522.46,"Florida Bay","Y","Garfield Bight by the hydro station","GB1_9-23_F1","0.088",0.04,NA,0.298,"0.039","GB1_9-23_UF1",52.6,1.027,1157,1,"GB1_9-23_1","9/26/2023",53,"12/1/2023",15.8
"83","GB1","9-23","GB1_9-23_WQ",30.731,6.32,26.84,8.18,9.01,29.6,88.82,"Garfield Bight",25.167619,-80.804658,519685.12,2783522.46,"Florida Bay","Y","Garfield Bight by the hydro station","GB1_9-23_F1","0.088",0.04,NA,0.298,"0.039","GB1_9-23_UF1",52.6,1.027,1157,2,"GB1_9-23_2","9/26/2023",57,"12/1/2023",17.21
"84","GB2","1-24","GB2_1-24_WQ",21.7,7,24.6,NA,NA,NA,NA,"Southern Garfield Bight",25.148194,-80.809977,519152.11,2781370.71,"Florida  Bay","N","Florida Bay site just south of Garfield","GB2_1-24_F1","0.175",0.153,NA,0.124,"0.202","GB2_1-24_UF1",40.5,0.77,701.7,2,"GB2_1-24_2","1/6/2024",55,"",NA
"85","GB2","1-24","GB2_1-24_WQ",21.7,7,24.6,NA,NA,NA,NA,"Southern Garfield Bight",25.148194,-80.809977,519152.11,2781370.71,"Florida  Bay","N","Florida Bay site just south of Garfield","GB2_1-24_F1","0.175",0.153,NA,0.124,"0.202","GB2_1-24_UF1",40.5,0.77,701.7,1,"GB2_1-24_1","1/6/2024",53,"",NA
"86","GB2","1123E","GB2_1123E_WQ",19.9,7.2,21.7,NA,NA,NA,NA,"Southern Garfield Bight",25.148194,-80.809977,519152.11,2781370.71,"Florida  Bay","N","Florida Bay site just south of Garfield","GB2_1123E_F1","0.473",0.097,NA,0.073,"0.007","GB2_1123E_UF",1.79,0.04796,21.49,1,"GB2_1123E_1","11/30/2023",52,"11/6/2024",21.26
"87","GB2","1123E","GB2_1123E_WQ",19.9,7.2,21.7,NA,NA,NA,NA,"Southern Garfield Bight",25.148194,-80.809977,519152.11,2781370.71,"Florida  Bay","N","Florida Bay site just south of Garfield","GB2_1123E_F1","0.473",0.097,NA,0.073,"0.007","GB2_1123E_UF",1.79,0.04796,21.49,2,"GB2_1123E_2","11/30/2023",52,"11/6/2024",16.95
"88","GB2","1123E","GB2_1123E_WQ",19.9,7.2,21.7,NA,NA,NA,NA,"Southern Garfield Bight",25.148194,-80.809977,519152.11,2781370.71,"Florida  Bay","N","Florida Bay site just south of Garfield","GB2_1123E_F1","0.00662",0.00136,NA,0.00102,"0.00022","GB2_1123E_UF",1.79,0.04796,21.49,1,"GB2_1123E_1","11/30/2023",52,"11/6/2024",21.26
"89","GB2","1123E","GB2_1123E_WQ",19.9,7.2,21.7,NA,NA,NA,NA,"Southern Garfield Bight",25.148194,-80.809977,519152.11,2781370.71,"Florida  Bay","N","Florida Bay site just south of Garfield","GB2_1123E_F1","0.00662",0.00136,NA,0.00102,"0.00022","GB2_1123E_UF",1.79,0.04796,21.49,2,"GB2_1123E_2","11/30/2023",52,"11/6/2024",16.95
"90","GB2","4-24","GB2_4-24_WQ",25.3,6.55,28.2,8.18,32.03,10.74,32.7,"Southern Garfield Bight",25.148194,-80.809977,519152.11,2781370.71,"Florida  Bay","N","Florida Bay site just south of Garfield","GB2_4-24_F1","0.299",0.15,NA,3.82,"0.001","GB2_4-24_UF1",89,1.047,616.1,2,"GB2_4-24_2","4/11/2024",50,"11/6/2024",4.6
"91","GB2","4-24","GB2_4-24_WQ",25.3,6.55,28.2,8.18,32.03,10.74,32.7,"Southern Garfield Bight",25.148194,-80.809977,519152.11,2781370.71,"Florida  Bay","N","Florida Bay site just south of Garfield","GB2_4-24_F1","0.299",0.15,NA,3.82,"0.001","GB2_4-24_UF1",89,1.047,616.1,1,"GB2_4-24_1","4/11/2024",50,"11/6/2024",5.81
"92","GB2","9-23","GB2_9-23_WQ",29.897,6.99,33.67,8.24,11.51,13.43,40.3,"Southern Garfield Bight",25.148194,-80.809977,519152.11,2781370.71,"Florida  Bay","N","Florida Bay site just south of Garfield","GB2_9-23_F1","0.662",0.1,NA,4.758,"0.008","GB2_9-23_UF1",57.4,0.824,1173,2,"GB2_9-23_2","9/27/2023",57,"12/1/2023",8.12
"93","GB2","9-23","GB2_9-23_WQ",29.897,6.99,33.67,8.24,11.51,13.43,40.3,"Southern Garfield Bight",25.148194,-80.809977,519152.11,2781370.71,"Florida  Bay","N","Florida Bay site just south of Garfield","GB2_9-23_F1","0.662",0.1,NA,4.758,"0.008","GB2_9-23_UF1",57.4,0.824,1173,1,"GB2_9-23_1","9/27/2023",56,"12/1/2023",7.98
"94","GBHM","1-24","GBHM_1-24_WQ",22.1,7.2,10.6,NA,NA,NA,NA,"Garfield Healthy Mangroves",25.177109,-80.794167,520740.72,2784574.87,"Mangrove","N","Healthy mangroves near Alligator Creek","GBHM_1-24_F1","0.539",0.353,NA,0.984,"0.136","GBHM_1-24_UF1",109,4.066,1193,2,"GBHM_1-24_2","1/11/2024",50,"",NA
"95","GBHM","1-24","GBHM_1-24_WQ",22.1,7.2,10.6,NA,NA,NA,NA,"Garfield Healthy Mangroves",25.177109,-80.794167,520740.72,2784574.87,"Mangrove","N","Healthy mangroves near Alligator Creek","GBHM_1-24_F1","0.539",0.353,NA,0.984,"0.136","GBHM_1-24_UF1",109,4.066,1193,1,"GBHM_1-24_1","1/11/2024",51,"",NA
"96","GBHM","9-23","GBHM_9-23_WQ",NA,NA,14.6,NA,NA,NA,NA,"Garfield Healthy Mangroves",25.177109,-80.794167,520740.72,2784574.87,"Mangrove","N","Healthy mangroves near Alligator Creek","GBHM_9-23_F1","0.287",0.101,NA,0.783,"0.300","GBHM_9-23_UF1",75.3,3.134,1878,2,"GBHM_9-23_2","9/26/2023",60,"12/1/2023",39.62
"97","GBHM","9-23","GBHM_9-23_WQ",NA,NA,14.6,NA,NA,NA,NA,"Garfield Healthy Mangroves",25.177109,-80.794167,520740.72,2784574.87,"Mangrove","N","Healthy mangroves near Alligator Creek","GBHM_9-23_F1","0.287",0.101,NA,0.783,"0.300","GBHM_9-23_UF1",75.3,3.134,1878,1,"GBHM_9-23_1","9/26/2023",53,"12/1/2023",23.46
"98","JB","1-24","JB_1-24_WQ",22.1,7.8,33.1,NA,NA,NA,NA,"Johnson Basin",25.049651,-80.908714,509207.91,2770448.64,"Florida Bay","N","Johnson Basin","JB_1-24_F1","0.509",0.016,NA,0.625,"0.019","JB_1-24_UF1",20.2,0.346,286.8,1,"JB_1-24_1","1/6/2024",53,"",NA
"99","JB","1-24","JB_1-24_WQ",22.1,7.8,33.1,NA,NA,NA,NA,"Johnson Basin",25.049651,-80.908714,509207.91,2770448.64,"Florida Bay","N","Johnson Basin","JB_1-24_F1","0.509",0.016,NA,0.625,"0.019","JB_1-24_UF1",20.2,0.346,286.8,2,"JB_1-24_2","1/6/2024",56,"",NA
"100","JB","1123E","JB_1123E_WQ",20.9,7.7,35.9,NA,NA,NA,NA,"Johnson Basin",25.049651,-80.908714,509207.91,2770448.64,"Florida Bay","N","Johnson Basin","JB_1123E_F1","0.443",0.018,NA,0.288,"0.038","JB_1123E_UF",0.32,0.00874,3.886,1,"JB_1123E_1","11/30/2023",53,"11/6/2024",0.39
"101","JB","1123E","JB_1123E_WQ",20.9,7.7,35.9,NA,NA,NA,NA,"Johnson Basin",25.049651,-80.908714,509207.91,2770448.64,"Florida Bay","N","Johnson Basin","JB_1123E_F1","0.443",0.018,NA,0.288,"0.038","JB_1123E_UF",0.32,0.00874,3.886,2,"JB_1123E_2","11/30/2023",57,"11/6/2024",0.41
"102","JB","1123E","JB_1123E_WQ",20.9,7.7,35.9,NA,NA,NA,NA,"Johnson Basin",25.049651,-80.908714,509207.91,2770448.64,"Florida Bay","N","Johnson Basin","JB_1123E_F1","0.00620",0.00025,NA,0.00403,"0.00118","JB_1123E_UF",0.32,0.00874,3.886,1,"JB_1123E_1","11/30/2023",53,"11/6/2024",0.39
"103","JB","1123E","JB_1123E_WQ",20.9,7.7,35.9,NA,NA,NA,NA,"Johnson Basin",25.049651,-80.908714,509207.91,2770448.64,"Florida Bay","N","Johnson Basin","JB_1123E_F1","0.00620",0.00025,NA,0.00403,"0.00118","JB_1123E_UF",0.32,0.00874,3.886,2,"JB_1123E_2","11/30/2023",57,"11/6/2024",0.41
"104","JB","4-24","JB_4-24_WQ",26.25,8.16,34.26,8.83,0.22,9.38,28.65,"Johnson Basin",25.049651,-80.908714,509207.91,2770448.64,"Florida Bay","N","Johnson Basin","JB_4-24_F1","0.154",0.041,NA,0.249,"0.013","JB_4-24_UF1",20.7,0.415,256.4,2,"JB_4-24_2","4/11/2024",50,"11/6/2024",0.11
"105","JB","4-24","JB_4-24_WQ",26.25,8.16,34.26,8.83,0.22,9.38,28.65,"Johnson Basin",25.049651,-80.908714,509207.91,2770448.64,"Florida Bay","N","Johnson Basin","JB_4-24_F1","0.154",0.041,NA,0.249,"0.013","JB_4-24_UF1",20.7,0.415,256.4,1,"JB_4-24_1","4/11/2024",50,"11/6/2024",0.42
"106","JB","8-24","JB_8-24_WQ",30.944,6.27,38.8,8.01,0.07,0.26,11.78,"Johnson Basin",25.049651,-80.908714,509207.91,2770448.64,"Florida Bay","N","Johnson Basin","JB_8-24_F1","0.239",0.023,NA,0.671,"0.009","JB_8-24_UF1",35.5,0.31,498.4,1,"JB_8-24_1","",NA,"11/6/2024",1.31
"107","JB","8-24","JB_8-24_WQ",30.944,6.27,38.8,8.01,0.07,0.26,11.78,"Johnson Basin",25.049651,-80.908714,509207.91,2770448.64,"Florida Bay","N","Johnson Basin","JB_8-24_F1","0.239",0.023,NA,0.671,"0.009","JB_8-24_UF1",35.5,0.31,498.4,2,"JB_8-24_2","",NA,"11/6/2024",0.84
"108","JB","9-23","JB_9-23_WQ",28.937,7.54,37.19,8.56,-0.1,6.44,19.32,"Johnson Basin",25.049651,-80.908714,509207.91,2770448.64,"Florida Bay","N","Johnson Basin","JB_9-23_F1","0.00322",0.00018,NA,0.0047,"0.00050","JB_9-23_UF1",0.26,0.01014,2.665,1,"JB_9-23_1","10/5/2023",56,"11/6/2024",0.86
"109","JB","9-23","JB_9-23_WQ",28.937,7.54,37.19,8.56,-0.1,6.44,19.32,"Johnson Basin",25.049651,-80.908714,509207.91,2770448.64,"Florida Bay","N","Johnson Basin","JB_9-23_F1","0.00322",0.00018,NA,0.0047,"0.00050","JB_9-23_UF1",0.26,0.01014,2.665,2,"JB_9-23_2","10/5/2023",54,"11/6/2024",0.78
"110","MCS1","1-24","MCS1_1-24_WQ",22,8,3.2,NA,NA,NA,NA,"Seven Palm Lake",25.183946,-80.720982,528113.6,2785345.22,"Coastal Lakes","Y","Seven Palm Lake (sediment near entrance?)","MCS1_1-24_F1","0.264",0.114,NA,0.307,"0.016","MCS1_1-24_UF1",65.2,0.975,901.7,2,"MCS1_1-24_2","1/7/2024",55,"",NA
"111","MCS1","1-24","MCS1_1-24_WQ",22,8,3.2,NA,NA,NA,NA,"Seven Palm Lake",25.183946,-80.720982,528113.6,2785345.22,"Coastal Lakes","Y","Seven Palm Lake (sediment near entrance?)","MCS1_1-24_F1","0.264",0.114,NA,0.307,"0.016","MCS1_1-24_UF1",65.2,0.975,901.7,1,"MCS1_1-24_1","1/7/2024",56,"",NA
"112","MCS1","1123E","MCS1_1123E_WQ",22.8,8.3,5,NA,NA,NA,NA,"Seven Palm Lake",25.183946,-80.720982,528113.6,2785345.22,"Coastal Lakes","Y","Seven Palm Lake (sediment near entrance?)","MCS1_1123E_F1","0.343",0.077,NA,0.155,"0.011","MCS1_1123E_UF",1,0.01792,16.64,2,"MCS1_1123E_2","11/30/2023",55,"11/6/2024",6.85
"113","MCS1","1123E","MCS1_1123E_WQ",22.8,8.3,5,NA,NA,NA,NA,"Seven Palm Lake",25.183946,-80.720982,528113.6,2785345.22,"Coastal Lakes","Y","Seven Palm Lake (sediment near entrance?)","MCS1_1123E_F1","0.343",0.077,NA,0.155,"0.011","MCS1_1123E_UF",1,0.01792,16.64,1,"MCS1_1123E_1","11/30/2023",51,"11/6/2024",7.59
"114","MCS1","1123E","MCS1_1123E_WQ",22.8,8.3,5,NA,NA,NA,NA,"Seven Palm Lake",25.183946,-80.720982,528113.6,2785345.22,"Coastal Lakes","Y","Seven Palm Lake (sediment near entrance?)","MCS1_1123E_F1","0.00480",0.00108,NA,0.00217,"0.00034","MCS1_1123E_UF",1,0.01792,16.64,2,"MCS1_1123E_2","11/30/2023",55,"11/6/2024",6.85
"115","MCS1","1123E","MCS1_1123E_WQ",22.8,8.3,5,NA,NA,NA,NA,"Seven Palm Lake",25.183946,-80.720982,528113.6,2785345.22,"Coastal Lakes","Y","Seven Palm Lake (sediment near entrance?)","MCS1_1123E_F1","0.00480",0.00108,NA,0.00217,"0.00034","MCS1_1123E_UF",1,0.01792,16.64,1,"MCS1_1123E_1","11/30/2023",51,"11/6/2024",7.59
"116","MCS1","4-24","MCS1_4-24_WQ",24.6,8.32,4.89,8.61,5.5,19.04,57.96,"Seven Palm Lake",25.183946,-80.720982,528113.6,2785345.22,"Coastal Lakes","Y","Seven Palm Lake (sediment near entrance?)","MCS1_4-24_F1","1.105",0.155,NA,1.485,"0.053","MCS1_4-24_UF1",68.1,1.003,465.7,2,"MCS1_4-24_2","4/8/2024",50,"11/6/2024",17.52
"117","MCS1","4-24","MCS1_4-24_WQ",24.6,8.32,4.89,8.61,5.5,19.04,57.96,"Seven Palm Lake",25.183946,-80.720982,528113.6,2785345.22,"Coastal Lakes","Y","Seven Palm Lake (sediment near entrance?)","MCS1_4-24_F1","1.105",0.155,NA,1.485,"0.053","MCS1_4-24_UF1",68.1,1.003,465.7,1,"MCS1_4-24_1","4/8/2024",50,"11/6/2024",8.17
"118","MCS1","8-24","MCS1_8-24_WQ",29.526,6.83,10.64,8.18,3.7,0.69,19.42,"Seven Palm Lake",25.183946,-80.720982,528113.6,2785345.22,"Coastal Lakes","Y","Seven Palm Lake (sediment near entrance?)","MCS1_8-24_F1","0.795",0.017,NA,1.187,"0.035","MCS1_8-24_UF1",88.6,1.063,1397,1,"MCS1_8-24_1","",NA,"11/6/2024",9.43
"119","MCS1","8-24","MCS1_8-24_WQ",29.526,6.83,10.64,8.18,3.7,0.69,19.42,"Seven Palm Lake",25.183946,-80.720982,528113.6,2785345.22,"Coastal Lakes","Y","Seven Palm Lake (sediment near entrance?)","MCS1_8-24_F1","0.795",0.017,NA,1.187,"0.035","MCS1_8-24_UF1",88.6,1.063,1397,2,"MCS1_8-24_2","",NA,"11/6/2024",10.05
"120","MCS1","9-23","MCS1_9-23_WQ",29.141,6.82,12,8.37,2.28,32.87,98.63,"Seven Palm Lake",25.183946,-80.720982,528113.6,2785345.22,"Coastal Lakes","Y","Seven Palm Lake (sediment near entrance?)","MCS1_9-23_F1","0.150",0.103,NA,0.313,NA,"MCS1_9-23_UF1",79.3,0.704,2055,1,"MCS1_9-23_1","9/27/2023",55,"12/1/2023",14.61
"121","MCS1","9-23","MCS1_9-23_WQ",29.141,6.82,12,8.37,2.28,32.87,98.63,"Seven Palm Lake",25.183946,-80.720982,528113.6,2785345.22,"Coastal Lakes","Y","Seven Palm Lake (sediment near entrance?)","MCS1_9-23_F1","0.150",0.103,NA,0.313,NA,"MCS1_9-23_UF1",79.3,0.704,2055,2,"MCS1_9-23_2","9/27/2023",54,"12/1/2023",15.42
"122","MCS2","1-24","MCS2_1-24_WQ",22.2,8,3.4,NA,NA,NA,NA,"Middle Lake",25.180071,-80.732186,526985.58,2784913.85,"Coastal Lakes","N","Middle Lake","MCS2_1-24_F1","0.677",0.214,NA,0.977,"0.063","MCS2_1-24_UF1",62.9,0.636,900,2,"MCS2_1-24_2","1/7/2024",54,"",NA
"123","MCS2","1-24","MCS2_1-24_WQ",22.2,8,3.4,NA,NA,NA,NA,"Middle Lake",25.180071,-80.732186,526985.58,2784913.85,"Coastal Lakes","N","Middle Lake","MCS2_1-24_F1","0.677",0.214,NA,0.977,"0.063","MCS2_1-24_UF1",62.9,0.636,900,1,"MCS2_1-24_1","1/7/2024",55,"",NA
"124","MCS2","4-24","MCS2_4-24_WQ",25,8.4,6.95,8.5,9.3,18.83,57.39,"Middle Lake",25.180071,-80.732186,526985.58,2784913.85,"Coastal Lakes","N","Middle Lake","MCS2_4-24_F1","1.06",0.139,NA,1.471,"0.034","MCS2_4-24_UF1",88.1,1.607,423,2,"MCS2_4-24_2","4/8/2024",50,"11/6/2024",26.89
"125","MCS2","4-24","MCS2_4-24_WQ",25,8.4,6.95,8.5,9.3,18.83,57.39,"Middle Lake",25.180071,-80.732186,526985.58,2784913.85,"Coastal Lakes","N","Middle Lake","MCS2_4-24_F1","1.06",0.139,NA,1.471,"0.034","MCS2_4-24_UF1",88.1,1.607,423,1,"MCS2_4-24_1","4/8/2024",50,"11/6/2024",26.73
"126","MCS2","8-24","MCS2_8-24_WQ",29.476,6.73,15.9,8.01,6.36,0.73,18.02,"Middle Lake",25.180071,-80.732186,526985.58,2784913.85,"Coastal Lakes","N","Middle Lake","MCS2_8-24_F1","0.569",0.051,NA,1.216,"0.017","MCS2_8-24_UF1",106.2,1.114,1037,2,"MCS2_8-24_2","",NA,"11/6/2024",9.88
"127","MCS2","8-24","MCS2_8-24_WQ",29.476,6.73,15.9,8.01,6.36,0.73,18.02,"Middle Lake",25.180071,-80.732186,526985.58,2784913.85,"Coastal Lakes","N","Middle Lake","MCS2_8-24_F1","0.569",0.051,NA,1.216,"0.017","MCS2_8-24_UF1",106.2,1.114,1037,1,"MCS2_8-24_1","",NA,"11/6/2024",10.12
"128","MCS2","9-23","MCS2_9-23_WQ",29.341,6.72,12.96,8.13,3.99,32.28,96.88,"Middle Lake",25.180071,-80.732186,526985.58,2784913.85,"Coastal Lakes","N","Middle Lake","MCS2_9-23_F1","5.490",0.327,5.163,1.665,"0.017","MCS2_9-23_UF1",83.2,1.002,2016,1,"MCS2_9-23_1","9/27/2023",53,"12/1/2023",17.75
"129","MCS2","9-23","MCS2_9-23_WQ",29.341,6.72,12.96,8.13,3.99,32.28,96.88,"Middle Lake",25.180071,-80.732186,526985.58,2784913.85,"Coastal Lakes","N","Middle Lake","MCS2_9-23_F1","5.490",0.327,5.163,1.665,"0.017","MCS2_9-23_UF1",83.2,1.002,2016,2,"MCS2_9-23_2","9/27/2023",58,"12/1/2023",17.71
"130","MCS3","1-24","MCS3_1-24_WQ",22.4,9,5.7,NA,NA,NA,NA,"Monroe Lake",25.174664,-80.738546,526345.93,2784313.79,"Coastal Lakes","Y","Monroe Lake","MCS3_1-24_F1","0.913",0.223,NA,1.568,"0.020","MCS3_1-24_UF1",60.5,0.774,860,1,"MCS3_1-24_1","1/7/2024",54,"",NA
"131","MCS3","1-24","MCS3_1-24_WQ",22.4,9,5.7,NA,NA,NA,NA,"Monroe Lake",25.174664,-80.738546,526345.93,2784313.79,"Coastal Lakes","Y","Monroe Lake","MCS3_1-24_F1","0.913",0.223,NA,1.568,"0.020","MCS3_1-24_UF1",60.5,0.774,860,2,"MCS3_1-24_2","1/7/2024",51,"",NA
"132","MCS3","4-24","MCS3_4-24_WQ",25.1,8.35,10.53,8.46,8.11,19.57,59.56,"Monroe Lake",25.174664,-80.738546,526345.93,2784313.79,"Coastal Lakes","Y","Monroe Lake","MCS3_4-24_F1","1.286",0.099,NA,1.874,"0.024","MCS3_4-24_UF1",91.7,1.755,1276,2,"MCS3_4-24_2","4/8/2024",50,"11/6/2024",18.33
"133","MCS3","4-24","MCS3_4-24_WQ",25.1,8.35,10.53,8.46,8.11,19.57,59.56,"Monroe Lake",25.174664,-80.738546,526345.93,2784313.79,"Coastal Lakes","Y","Monroe Lake","MCS3_4-24_F1","1.286",0.099,NA,1.874,"0.024","MCS3_4-24_UF1",91.7,1.755,1276,1,"MCS3_4-24_1","4/8/2024",50,"11/6/2024",18.15
"134","MCS3","8-24","MCS3_8-24_WQ",29.554,6.69,21.19,7.99,9.62,1.05,18.58,"Monroe Lake",25.174664,-80.738546,526345.93,2784313.79,"Coastal Lakes","Y","Monroe Lake","MCS3_8-24_F1","1.43",0.055,NA,0.902,"0.02","MCS3_8-24_UF1",103.1,1.211,1187,1,"MCS3_8-24_1","",NA,"11/6/2024",13.7
"135","MCS3","8-24","MCS3_8-24_WQ",29.554,6.69,21.19,7.99,9.62,1.05,18.58,"Monroe Lake",25.174664,-80.738546,526345.93,2784313.79,"Coastal Lakes","Y","Monroe Lake","MCS3_8-24_F1","1.43",0.055,NA,0.902,"0.02","MCS3_8-24_UF1",103.1,1.211,1187,2,"MCS3_8-24_2","",NA,"11/6/2024",11.36
"136","MCS3","9-23","MCS3_9-23_WQ",29.199,6.24,15.8,8,3.96,36.56,109.7,"Monroe Lake",25.174664,-80.738546,526345.93,2784313.79,"Coastal Lakes","Y","Monroe Lake","MCS3_9-23_F1","3.081",0.218,2.863,0.84,"0.019","MCS3_9-23_UF1",67.1,1.111,1780,2,"MCS3_9-23_2","9/27/2023",57,"12/1/2023",22.27
"137","MCS3","9-23","MCS3_9-23_WQ",29.199,6.24,15.8,8,3.96,36.56,109.7,"Monroe Lake",25.174664,-80.738546,526345.93,2784313.79,"Coastal Lakes","Y","Monroe Lake","MCS3_9-23_F1","3.081",0.218,2.863,0.84,"0.019","MCS3_9-23_UF1",67.1,1.111,1780,1,"MCS3_9-23_1","9/27/2023",56,"12/1/2023",21.45
"138","MCS4","1-24","MCS4_1-24_WQ",22.6,8.2,5.7,NA,NA,NA,NA,"McCormick Creek",25.16706,-80.731255,527082.21,2783473.3,"POI","N","Entrance to McCormick Creek from Terrapin","MCS4_1-24_F1","0.326",0.129,NA,0.02,"0.018","MCS4_1-24_UF1",66.7,0.645,1107,1,"MCS4_1-24_1","1/7/2024",54,"",NA
"139","MCS4","1-24","MCS4_1-24_WQ",22.6,8.2,5.7,NA,NA,NA,NA,"McCormick Creek",25.16706,-80.731255,527082.21,2783473.3,"POI","N","Entrance to McCormick Creek from Terrapin","MCS4_1-24_F1","0.326",0.129,NA,0.02,"0.018","MCS4_1-24_UF1",66.7,0.645,1107,2,"MCS4_1-24_2","1/7/2024",51,"",NA
"140","MCS4","4-24","MCS4_4-24_WQ",25.6,7.35,10.74,8.38,8.54,19.7,59.95,"McCormick Creek",25.16706,-80.731255,527082.21,2783473.3,"POI","N","Entrance to McCormick Creek from Terrapin","MCS4_4-24_F1","1.422",0.117,NA,1.75,"0.027","MCS4_4-24_UF1",71,1.562,664.3,1,"MCS4_4-24_1","4/8/2024",48,"11/6/2024",22.51
