Station,DBKEY,Daily.Date,Data.Value,Qualifier,Revision Date
NP-TSB,H3153,5/15/1961,0,,19-Mar-98
NP-TSB,H3153,5/16/1961,0,,19-Mar-98
NP-TSB,H3153,5/17/1961,0,,19-Mar-98
NP-TSB,H3153,5/18/1961,0,,19-Mar-98
NP-TSB,H3153,5/19/1961,0,,19-Mar-98
NP-TSB,H3153,5/20/1961,0,,19-Mar-98
NP-TSB,H3153,5/21/1961,0,,19-Mar-98
NP-TSB,H3153,5/22/1961,0,,19-Mar-98
NP-TSB,H3153,5/23/1961,0,,19-Mar-98
NP-TSB,H3153,5/24/1961,0,,19-Mar-98
NP-TSB,H3153,5/25/1961,0,,19-Mar-98
NP-TSB,H3153,5/26/1961,0,,19-Mar-98
NP-TSB,H3153,5/27/1961,0,,19-Mar-98
NP-TSB,H3153,5/28/1961,0,,19-Mar-98
NP-TSB,H3153,5/29/1961,0,,19-Mar-98
NP-TSB,H3153,5/30/1961,1.41,,18-Dec-15
NP-TSB,H3153,5/31/1961,2.15,,18-Dec-15
NP-TSB,H3153,6/1/1961,2.66,,18-Dec-15
NP-TSB,H3153,6/2/1961,2.86,,18-Dec-15
NP-TSB,H3153,6/3/1961,3.18,,18-Dec-15
NP-TSB,H3153,6/4/1961,4,,18-Dec-15
NP-TSB,H3153,6/5/1961,4.58,,18-Dec-15
NP-TSB,H3153,6/6/1961,4.61,,18-Dec-15
NP-TSB,H3153,6/7/1961,5.42,,18-Dec-15
NP-TSB,H3153,6/8/1961,6.34,,18-Dec-15
NP-TSB,H3153,6/9/1961,8.1,,18-Dec-15
NP-TSB,H3153,6/10/1961,12.47,,18-Dec-15
NP-TSB,H3153,6/11/1961,32.28,,18-Dec-15
NP-TSB,H3153,6/12/1961,101.36,,18-Dec-15
NP-TSB,H3153,6/13/1961,166.08,,18-Dec-15
NP-TSB,H3153,6/14/1961,175.91,,18-Dec-15
NP-TSB,H3153,6/15/1961,171.99,,18-Dec-15
NP-TSB,H3153,6/16/1961,161.35,,18-Dec-15
NP-TSB,H3153,6/17/1961,141.8,,18-Dec-15
NP-TSB,H3153,6/18/1961,116.91,,18-Dec-15
NP-TSB,H3153,6/19/1961,98.09,,18-Dec-15
NP-TSB,H3153,6/20/1961,81.82,,18-Dec-15
NP-TSB,H3153,6/21/1961,62.18,,18-Dec-15
NP-TSB,H3153,6/22/1961,51.49,,18-Dec-15
NP-TSB,H3153,6/23/1961,42.35,,18-Dec-15
NP-TSB,H3153,6/24/1961,39.39,,18-Dec-15
NP-TSB,H3153,6/25/1961,42.35,,18-Dec-15
NP-TSB,H3153,6/26/1961,38.35,,18-Dec-15
NP-TSB,H3153,6/27/1961,35.64,,18-Dec-15
NP-TSB,H3153,6/28/1961,42.15,,18-Dec-15
NP-TSB,H3153,6/29/1961,48.65,,18-Dec-15
NP-TSB,H3153,6/30/1961,57.34,,18-Dec-15
NP-TSB,H3153,7/1/1961,58.55,,18-Dec-15
NP-TSB,H3153,7/2/1961,55.89,,18-Dec-15
NP-TSB,H3153,7/3/1961,55.76,,18-Dec-15
NP-TSB,H3153,7/4/1961,59.78,,18-Dec-15
NP-TSB,H3153,7/5/1961,58.41,,18-Dec-15
NP-TSB,H3153,7/6/1961,59.65,,18-Dec-15
NP-TSB,H3153,7/7/1961,59.65,,18-Dec-15
NP-TSB,H3153,7/8/1961,58.14,,18-Dec-15
NP-TSB,H3153,7/9/1961,54.21,,18-Dec-15
NP-TSB,H3153,7/10/1961,49.23,,18-Dec-15
NP-TSB,H3153,7/11/1961,43.7,,18-Dec-15
NP-TSB,H3153,7/12/1961,40.55,,18-Dec-15
NP-TSB,H3153,7/13/1961,41.44,,18-Dec-15
NP-TSB,H3153,7/14/1961,37.61,,18-Dec-15
NP-TSB,H3153,7/15/1961,34.01,,18-Dec-15
NP-TSB,H3153,7/16/1961,29.21,,18-Dec-15
NP-TSB,H3153,7/17/1961,25.68,,18-Dec-15
NP-TSB,H3153,7/18/1961,29.81,,18-Dec-15
NP-TSB,H3153,7/19/1961,27.64,,18-Dec-15
NP-TSB,H3153,7/20/1961,27.57,,18-Dec-15
NP-TSB,H3153,7/21/1961,47.17,,18-Dec-15
NP-TSB,H3153,7/22/1961,41.74,,18-Dec-15
NP-TSB,H3153,7/23/1961,33.42,,18-Dec-15
NP-TSB,H3153,7/24/1961,26.68,,18-Dec-15
NP-TSB,H3153,7/25/1961,20.56,,18-Dec-15
NP-TSB,H3153,7/26/1961,17.65,,18-Dec-15
NP-TSB,H3153,7/27/1961,15.1,,18-Dec-15
NP-TSB,H3153,7/28/1961,14,,18-Dec-15
NP-TSB,H3153,7/29/1961,11.89,,18-Dec-15
NP-TSB,H3153,7/30/1961,10.4,,18-Dec-15
NP-TSB,H3153,7/31/1961,8.81,,18-Dec-15
NP-TSB,H3153,8/1/1961,7.44,,18-Dec-15
NP-TSB,H3153,8/2/1961,7.71,,18-Dec-15
NP-TSB,H3153,8/3/1961,11.25,,18-Dec-15
NP-TSB,H3153,8/4/1961,12.3,,18-Dec-15
NP-TSB,H3153,8/5/1961,8.66,,18-Dec-15
NP-TSB,H3153,8/6/1961,5.5,,18-Dec-15
NP-TSB,H3153,8/7/1961,3.51,,18-Dec-15
NP-TSB,H3153,8/8/1961,2.12,,18-Dec-15
NP-TSB,H3153,8/9/1961,1.72,,18-Dec-15
NP-TSB,H3153,8/10/1961,1.5,,18-Dec-15
NP-TSB,H3153,8/11/1961,1.21,,18-Dec-15
NP-TSB,H3153,8/12/1961,1.01,,18-Dec-15
NP-TSB,H3153,8/13/1961,0.87,,18-Dec-15
NP-TSB,H3153,8/14/1961,0.75,,18-Dec-15
NP-TSB,H3153,8/15/1961,0.9,,18-Dec-15
NP-TSB,H3153,8/16/1961,1.4,,18-Dec-15
NP-TSB,H3153,8/17/1961,1.35,,18-Dec-15
NP-TSB,H3153,8/18/1961,1.3,,18-Dec-15
NP-TSB,H3153,8/19/1961,1.25,,18-Dec-15
NP-TSB,H3153,8/20/1961,1.21,,18-Dec-15
NP-TSB,H3153,8/21/1961,1.55,,18-Dec-15
NP-TSB,H3153,8/22/1961,1.5,,18-Dec-15
NP-TSB,H3153,8/23/1961,1.5,,18-Dec-15
NP-TSB,H3153,8/24/1961,1.61,,18-Dec-15
NP-TSB,H3153,8/25/1961,2.12,,18-Dec-15
NP-TSB,H3153,8/26/1961,2.27,,18-Dec-15
NP-TSB,H3153,8/27/1961,2.68,,18-Dec-15
NP-TSB,H3153,8/28/1961,4.47,,18-Dec-15
NP-TSB,H3153,8/29/1961,5.54,,18-Dec-15
NP-TSB,H3153,8/30/1961,8.63,,18-Dec-15
NP-TSB,H3153,8/31/1961,9.68,,18-Dec-15
NP-TSB,H3153,9/1/1961,11.47,,18-Dec-15
NP-TSB,H3153,9/2/1961,10.85,,18-Dec-15
